"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.995,30,3,0.709,0.698,0.703,0.542,326
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.995,30,4,0.617,0.758,0.68,0.515,443
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,3,1,0.648,0.752,0.696,0.534,416
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,3,2,0.701,0.538,0.609,0.437,286
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,3,3,0.764,0.665,0.711,0.551,288
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,3,4,0.648,0.755,0.697,0.535,418
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,5,1,0.647,0.752,0.696,0.533,417
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,5,2,0.701,0.538,0.609,0.437,286
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,5,3,0.759,0.677,0.716,0.557,295
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,5,4,0.646,0.755,0.696,0.534,419
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,10,1,0.642,0.752,0.693,0.53,420
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,10,2,0.701,0.538,0.609,0.437,286
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,10,3,0.743,0.689,0.715,0.556,307
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,10,4,0.641,0.755,0.693,0.531,422
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,15,1,0.64,0.752,0.691,0.529,421
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,15,2,0.701,0.538,0.609,0.437,286
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,15,3,0.736,0.692,0.713,0.554,311
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,15,4,0.639,0.755,0.692,0.53,423
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,20,1,0.64,0.752,0.691,0.529,421
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,20,2,0.701,0.538,0.609,0.437,286
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,20,3,0.728,0.695,0.711,0.552,316
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,20,4,0.639,0.755,0.692,0.53,423
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,25,1,0.64,0.752,0.691,0.529,421
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,25,2,0.701,0.538,0.609,0.437,286
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,25,3,0.728,0.695,0.711,0.552,316
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,25,4,0.639,0.755,0.692,0.53,423
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,30,1,0.64,0.752,0.691,0.529,421
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,30,2,0.698,0.538,0.608,0.436,287
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,30,3,0.723,0.695,0.709,0.549,318
"8_9","ClinicalBERT-original","ClinicalBERT","base",0.999,30,4,0.638,0.755,0.692,0.529,424
