"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,20,3,0.658,0.304,0.416,0.263,433
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,20,4,0.561,0.349,0.43,0.274,583
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,25,1,0.571,0.336,0.423,0.268,552
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,25,2,0.567,0.203,0.299,0.176,335
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,25,3,0.657,0.308,0.419,0.266,440
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,25,4,0.56,0.351,0.432,0.275,587
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,30,1,0.571,0.336,0.423,0.268,552
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,30,2,0.554,0.203,0.297,0.174,343
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,30,3,0.647,0.312,0.421,0.266,451
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,30,4,0.553,0.351,0.429,0.273,595
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,3,1,0.582,0.312,0.406,0.255,502
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,3,2,0.596,0.169,0.263,0.151,265
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,3,3,0.672,0.24,0.354,0.215,335
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,3,4,0.583,0.315,0.409,0.257,506
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,5,1,0.583,0.322,0.415,0.262,518
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,5,2,0.596,0.169,0.263,0.151,265
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,5,3,0.673,0.259,0.374,0.23,361
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,5,4,0.584,0.326,0.418,0.264,522
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,10,1,0.58,0.323,0.415,0.262,522
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,10,2,0.593,0.171,0.265,0.153,270
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,10,3,0.67,0.277,0.392,0.244,388
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,10,4,0.58,0.329,0.42,0.266,531
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,15,1,0.581,0.324,0.416,0.263,523
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,15,2,0.59,0.172,0.266,0.153,273
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,15,3,0.669,0.287,0.402,0.251,402
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,15,4,0.579,0.331,0.421,0.267,535
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,20,1,0.583,0.328,0.42,0.265,527
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,20,2,0.585,0.172,0.266,0.153,275
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,20,3,0.669,0.293,0.408,0.256,411
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,20,4,0.579,0.334,0.424,0.269,541
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,25,1,0.583,0.329,0.421,0.266,528
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,25,2,0.583,0.172,0.266,0.153,276
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,25,3,0.668,0.297,0.411,0.259,416
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,25,4,0.578,0.335,0.424,0.269,543
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,30,1,0.583,0.329,0.421,0.266,528
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,30,2,0.579,0.172,0.265,0.153,278
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,30,3,0.667,0.3,0.414,0.261,421
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,30,4,0.576,0.335,0.424,0.269,545
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,3,1,0.603,0.307,0.407,0.256,478
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,3,2,0.626,0.152,0.245,0.139,227
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,3,3,0.671,0.237,0.35,0.212,331
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,3,4,0.603,0.307,0.407,0.256,478
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,5,1,0.603,0.318,0.416,0.263,494
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,5,2,0.626,0.152,0.245,0.139,227
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,5,3,0.671,0.255,0.37,0.227,356
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,5,4,0.603,0.318,0.416,0.263,494
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,10,1,0.6,0.319,0.417,0.263,498
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,10,2,0.627,0.153,0.246,0.14,228
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,10,3,0.673,0.272,0.387,0.24,379
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,10,4,0.601,0.32,0.418,0.264,499
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,15,1,0.601,0.32,0.418,0.264,499
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,15,2,0.629,0.154,0.247,0.141,229
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,15,3,0.675,0.282,0.398,0.248,391
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,15,4,0.603,0.322,0.42,0.266,501
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,20,1,0.602,0.323,0.42,0.266,503
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,20,2,0.626,0.154,0.247,0.141,230
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,20,3,0.676,0.287,0.403,0.252,398
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,20,4,0.603,0.326,0.423,0.268,506
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,25,1,0.603,0.324,0.422,0.267,504
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,25,2,0.626,0.154,0.247,0.141,230
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,25,3,0.677,0.29,0.406,0.255,402
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,25,4,0.604,0.327,0.424,0.269,507
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,30,1,0.603,0.324,0.422,0.267,504
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,30,2,0.626,0.154,0.247,0.141,230
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,30,3,0.679,0.293,0.409,0.258,405
"10_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,30,4,0.604,0.327,0.424,0.269,507
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,3,1,0.53,0.758,0.624,0.453,474
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,3,2,0.495,0.734,0.591,0.42,491
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,3,3,0.633,0.698,0.664,0.497,365
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,3,4,0.475,0.792,0.594,0.423,551
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,5,1,0.528,0.758,0.622,0.452,475
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,5,2,0.46,0.737,0.566,0.395,531
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,5,3,0.571,0.716,0.635,0.466,415
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,5,4,0.444,0.795,0.57,0.398,592
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,10,1,0.525,0.758,0.62,0.45,478
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,10,2,0.407,0.743,0.526,0.357,605
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,10,3,0.488,0.734,0.586,0.415,498
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,10,4,0.398,0.801,0.532,0.362,666
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,15,1,0.524,0.758,0.62,0.449,479
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,15,2,0.381,0.743,0.504,0.337,645
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,15,3,0.452,0.737,0.56,0.389,540
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,15,4,0.375,0.801,0.511,0.343,706
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,20,1,0.524,0.758,0.62,0.449,479
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,20,2,0.366,0.743,0.49,0.325,672
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,20,3,0.428,0.74,0.542,0.372,572
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,20,4,0.362,0.801,0.499,0.332,733
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,25,1,0.524,0.758,0.62,0.449,479
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,25,2,0.349,0.743,0.475,0.311,705
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,25,3,0.402,0.74,0.521,0.353,609
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,25,4,0.346,0.801,0.483,0.319,766
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,30,1,0.524,0.758,0.62,0.449,479
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,30,2,0.337,0.743,0.464,0.302,729
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,30,3,0.386,0.74,0.507,0.34,635
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.95,30,4,0.335,0.801,0.472,0.31,790
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,3,1,0.575,0.749,0.651,0.482,431
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,3,2,0.603,0.592,0.597,0.426,325
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,3,3,0.755,0.671,0.711,0.551,294
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,3,4,0.571,0.755,0.65,0.482,438
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,5,1,0.574,0.749,0.65,0.482,432
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,5,2,0.598,0.592,0.595,0.423,328
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,5,3,0.742,0.686,0.713,0.554,306
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,5,4,0.566,0.755,0.647,0.478,442
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,10,1,0.57,0.749,0.647,0.479,435
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,10,2,0.596,0.592,0.594,0.422,329
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,10,3,0.729,0.698,0.713,0.554,317
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,10,4,0.561,0.755,0.644,0.474,446
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,15,1,0.569,0.749,0.647,0.478,436
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,15,2,0.596,0.592,0.594,0.422,329
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,15,3,0.725,0.701,0.713,0.554,320
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,15,4,0.559,0.755,0.642,0.473,447
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,20,1,0.569,0.749,0.647,0.478,436
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,20,2,0.594,0.592,0.593,0.422,330
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,20,3,0.714,0.701,0.707,0.547,325
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,20,4,0.558,0.755,0.642,0.473,448
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,25,1,0.569,0.749,0.647,0.478,436
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,25,2,0.59,0.592,0.591,0.42,332
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,25,3,0.703,0.701,0.702,0.541,330
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,25,4,0.556,0.755,0.64,0.471,450
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,30,1,0.569,0.749,0.647,0.478,436
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,30,2,0.585,0.592,0.588,0.417,335
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,30,3,0.693,0.701,0.697,0.535,335
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.99,30,4,0.552,0.755,0.638,0.468,453
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,3,1,0.588,0.749,0.659,0.491,422
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,3,2,0.62,0.571,0.594,0.423,305
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,3,3,0.765,0.668,0.713,0.554,289
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,3,4,0.587,0.752,0.659,0.492,424
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,5,1,0.586,0.749,0.658,0.49,423
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,5,2,0.614,0.571,0.592,0.42,308
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,5,3,0.751,0.683,0.715,0.557,301
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,5,4,0.582,0.752,0.656,0.488,428
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,10,1,0.582,0.749,0.655,0.487,426
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,10,2,0.614,0.571,0.592,0.42,308
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,10,3,0.74,0.695,0.717,0.558,311
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,10,4,0.578,0.752,0.654,0.485,431
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,15,1,0.581,0.749,0.654,0.486,427
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,15,2,0.614,0.571,0.592,0.42,308
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,15,3,0.736,0.698,0.716,0.558,314
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,15,4,0.576,0.752,0.652,0.484,432
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,20,1,0.581,0.749,0.654,0.486,427
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,20,2,0.612,0.571,0.591,0.419,309
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,20,3,0.724,0.698,0.711,0.551,319
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,20,4,0.575,0.752,0.652,0.483,433
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,25,1,0.581,0.749,0.654,0.486,427
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,25,2,0.612,0.571,0.591,0.419,309
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,25,3,0.717,0.698,0.707,0.547,322
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,25,4,0.575,0.752,0.652,0.483,433
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,30,1,0.581,0.749,0.654,0.486,427
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,30,2,0.608,0.571,0.589,0.417,311
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,30,3,0.711,0.698,0.704,0.544,325
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.995,30,4,0.572,0.752,0.65,0.482,435
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,3,1,0.596,0.743,0.661,0.494,413
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,3,2,0.63,0.55,0.587,0.416,289
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,3,3,0.767,0.665,0.712,0.553,287
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,3,4,0.596,0.743,0.661,0.494,413
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,5,1,0.594,0.743,0.66,0.493,414
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,5,2,0.63,0.55,0.587,0.416,289
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,5,3,0.76,0.68,0.718,0.56,296
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,5,4,0.594,0.743,0.66,0.493,414
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,10,1,0.59,0.743,0.658,0.49,417
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,10,2,0.63,0.55,0.587,0.416,289
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,10,3,0.748,0.692,0.719,0.561,306
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,10,4,0.59,0.743,0.658,0.49,417
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,15,1,0.589,0.743,0.657,0.489,418
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,15,2,0.63,0.55,0.587,0.416,289
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,15,3,0.744,0.695,0.719,0.561,309
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,15,4,0.589,0.743,0.657,0.489,418
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,20,1,0.589,0.743,0.657,0.489,418
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,20,2,0.63,0.55,0.587,0.416,289
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,20,3,0.737,0.695,0.715,0.557,312
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,20,4,0.589,0.743,0.657,0.489,418
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,25,1,0.589,0.743,0.657,0.489,418
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,25,2,0.63,0.55,0.587,0.416,289
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,25,3,0.73,0.695,0.712,0.553,315
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,25,4,0.589,0.743,0.657,0.489,418
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,30,1,0.589,0.743,0.657,0.489,418
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,30,2,0.63,0.55,0.587,0.416,289
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,30,3,0.728,0.695,0.711,0.552,316
"8_9","ClinicalBERT-stopwords","ClinicalBERT","stopwords",0.999,30,4,0.589,0.743,0.657,0.489,418
