"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,15,3,0.68,0.295,0.411,0.259,417
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,15,4,0.581,0.346,0.434,0.277,574
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,20,1,0.587,0.337,0.428,0.273,553
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,20,2,0.59,0.204,0.303,0.179,332
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,20,3,0.68,0.304,0.42,0.266,430
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,20,4,0.58,0.351,0.437,0.28,583
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,25,1,0.588,0.338,0.429,0.274,554
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,25,2,0.587,0.205,0.304,0.179,335
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,25,3,0.678,0.308,0.424,0.269,437
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,25,4,0.58,0.353,0.439,0.281,587
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,30,1,0.588,0.338,0.429,0.274,554
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,30,2,0.573,0.205,0.302,0.178,343
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,30,3,0.668,0.312,0.425,0.27,448
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,30,4,0.572,0.353,0.437,0.279,595
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,3,1,0.599,0.313,0.411,0.259,502
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,3,2,0.62,0.171,0.268,0.155,266
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,3,3,0.69,0.24,0.356,0.217,335
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,3,4,0.602,0.316,0.414,0.261,506
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,5,1,0.601,0.323,0.42,0.266,518
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,5,2,0.62,0.171,0.268,0.155,266
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,5,3,0.692,0.259,0.377,0.233,361
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,5,4,0.604,0.327,0.424,0.269,522
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,10,1,0.6,0.324,0.421,0.267,522
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,10,2,0.614,0.173,0.27,0.156,272
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,10,3,0.691,0.277,0.395,0.247,387
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,10,4,0.599,0.33,0.426,0.27,532
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,15,1,0.6,0.326,0.422,0.268,523
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,15,2,0.613,0.174,0.271,0.157,274
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,15,3,0.688,0.287,0.405,0.254,402
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,15,4,0.599,0.332,0.427,0.272,535
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,20,1,0.602,0.329,0.425,0.27,527
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,20,2,0.608,0.174,0.271,0.156,276
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,20,3,0.688,0.293,0.411,0.259,411
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,20,4,0.598,0.335,0.429,0.274,541
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,25,1,0.602,0.33,0.426,0.271,528
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,25,2,0.606,0.174,0.27,0.156,277
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,25,3,0.686,0.297,0.415,0.261,416
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,25,4,0.598,0.336,0.43,0.274,543
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,30,1,0.602,0.33,0.426,0.271,528
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,30,2,0.601,0.174,0.27,0.156,279
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,30,3,0.685,0.3,0.417,0.264,421
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.995,30,4,0.595,0.336,0.429,0.274,545
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,3,1,0.619,0.308,0.411,0.259,477
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,3,2,0.641,0.153,0.247,0.141,226
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,3,3,0.687,0.237,0.352,0.214,331
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,3,4,0.619,0.308,0.411,0.259,477
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,5,1,0.62,0.319,0.421,0.267,493
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,5,2,0.641,0.153,0.247,0.141,226
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,5,3,0.689,0.255,0.372,0.229,356
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,5,4,0.62,0.319,0.421,0.267,493
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,10,1,0.619,0.32,0.422,0.267,497
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,10,2,0.643,0.154,0.248,0.142,227
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,10,3,0.695,0.272,0.391,0.243,377
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,10,4,0.619,0.321,0.423,0.268,498
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,15,1,0.619,0.321,0.423,0.268,498
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,15,2,0.644,0.155,0.25,0.143,228
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,15,3,0.697,0.282,0.402,0.251,389
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,15,4,0.621,0.323,0.425,0.27,500
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,20,1,0.62,0.324,0.426,0.271,502
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,20,2,0.642,0.155,0.25,0.142,229
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,20,3,0.697,0.287,0.407,0.255,396
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,20,4,0.621,0.327,0.428,0.272,505
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,25,1,0.621,0.326,0.428,0.272,503
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,25,2,0.642,0.155,0.25,0.142,229
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,25,3,0.697,0.29,0.41,0.258,400
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,25,4,0.621,0.328,0.429,0.273,506
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,30,1,0.621,0.326,0.428,0.272,503
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,30,2,0.642,0.155,0.25,0.142,229
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,30,3,0.7,0.293,0.413,0.261,403
"10_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.999,30,4,0.621,0.328,0.429,0.273,506
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,3,1,0.599,0.761,0.67,0.504,473
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,3,2,0.557,0.737,0.634,0.465,490
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,3,3,0.633,0.698,0.664,0.497,365
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,3,4,0.528,0.795,0.635,0.465,550
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,5,1,0.597,0.761,0.669,0.503,474
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,5,2,0.513,0.74,0.606,0.434,530
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,5,3,0.571,0.716,0.635,0.466,415
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,5,4,0.49,0.798,0.607,0.436,591
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,10,1,0.593,0.761,0.667,0.5,477
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,10,2,0.446,0.746,0.558,0.387,606
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,10,3,0.486,0.734,0.585,0.413,500
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,10,4,0.433,0.804,0.563,0.391,667
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,15,1,0.592,0.761,0.666,0.499,478
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,15,2,0.415,0.746,0.533,0.364,647
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,15,3,0.449,0.737,0.558,0.387,543
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,15,4,0.405,0.804,0.539,0.369,708
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,20,1,0.592,0.761,0.666,0.499,478
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,20,2,0.396,0.746,0.517,0.349,675
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,20,3,0.426,0.74,0.541,0.371,575
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,20,4,0.389,0.804,0.524,0.355,736
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,25,1,0.592,0.761,0.666,0.499,478
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,25,2,0.377,0.746,0.501,0.334,708
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,25,3,0.4,0.74,0.519,0.351,612
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,25,4,0.371,0.804,0.508,0.34,769
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,30,1,0.592,0.761,0.666,0.499,478
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,30,2,0.362,0.746,0.487,0.322,734
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,30,3,0.383,0.74,0.505,0.337,640
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.95,30,4,0.358,0.804,0.495,0.329,795
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,3,1,0.63,0.752,0.686,0.522,433
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,3,2,0.683,0.598,0.638,0.468,328
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,3,3,0.756,0.674,0.713,0.553,295
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,3,4,0.625,0.761,0.686,0.523,441
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,5,1,0.629,0.752,0.685,0.521,434
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,5,2,0.676,0.598,0.635,0.465,331
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,5,3,0.743,0.689,0.715,0.556,307
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,5,4,0.619,0.761,0.683,0.519,445
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,10,1,0.624,0.752,0.682,0.518,437
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,10,2,0.673,0.598,0.633,0.464,332
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,10,3,0.73,0.701,0.715,0.556,318
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,10,4,0.613,0.761,0.679,0.514,449
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,15,1,0.623,0.752,0.681,0.517,438
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,15,2,0.673,0.598,0.633,0.464,332
"8_9","ClinicalBERT-stopwords-raw","ClinicalBERT","stopwords_raw",0.99,15,3,0.726,0.704,0.715,0.556,321
