"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.99,25,1,0.616,0.362,0.456,0.295,550
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.99,25,2,0.656,0.247,0.359,0.218,352
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.99,25,3,0.666,0.319,0.431,0.275,449
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.99,25,4,0.602,0.372,0.46,0.299,580
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.99,30,1,0.616,0.362,0.456,0.295,550
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.99,30,2,0.648,0.248,0.359,0.218,358
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.99,30,3,0.659,0.322,0.433,0.276,458
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.99,30,4,0.597,0.374,0.46,0.298,586
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.995,3,1,0.624,0.345,0.444,0.285,518
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.995,3,2,0.697,0.226,0.341,0.206,304
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.995,3,3,0.677,0.241,0.355,0.216,334
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.995,3,4,0.624,0.345,0.444,0.285,518
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.995,5,1,0.625,0.355,0.453,0.293,533
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.995,5,2,0.697,0.226,0.341,0.206,304
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.995,5,3,0.684,0.264,0.381,0.235,361
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.995,5,4,0.625,0.355,0.453,0.293,533
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.995,10,1,0.622,0.356,0.453,0.293,537
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.995,10,2,0.695,0.228,0.343,0.208,308
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.995,10,3,0.691,0.288,0.407,0.255,391
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.995,10,4,0.621,0.359,0.455,0.294,541
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.995,15,1,0.622,0.356,0.453,0.293,537
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.995,15,2,0.693,0.228,0.343,0.207,309
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.995,15,3,0.69,0.3,0.418,0.264,407
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.995,15,4,0.62,0.359,0.455,0.294,542
"10_9","ClinicalBERT-base-nocode","ClinicalBERT","base",0.995,20,1,0.622,0.359,0.455,0.294,540
