"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","mpnet-stripped","mpnet","stripped",0.995,3,1,0.692,0.392,0.5,0.334,530
"10_9","mpnet-stripped","mpnet","stripped",0.995,3,2,0.818,0.293,0.431,0.276,336
"10_9","mpnet-stripped","mpnet","stripped",0.995,3,3,0.684,0.254,0.37,0.227,348
"10_9","mpnet-stripped","mpnet","stripped",0.995,3,4,0.692,0.392,0.5,0.334,530
"10_9","mpnet-stripped","mpnet","stripped",0.995,5,1,0.689,0.399,0.505,0.338,543
"10_9","mpnet-stripped","mpnet","stripped",0.995,5,2,0.818,0.293,0.431,0.276,336
"10_9","mpnet-stripped","mpnet","stripped",0.995,5,3,0.688,0.281,0.399,0.249,382
"10_9","mpnet-stripped","mpnet","stripped",0.995,5,4,0.689,0.399,0.505,0.338,543
"10_9","mpnet-stripped","mpnet","stripped",0.995,10,1,0.686,0.4,0.505,0.338,547
"10_9","mpnet-stripped","mpnet","stripped",0.995,10,2,0.818,0.293,0.431,0.276,336
"10_9","mpnet-stripped","mpnet","stripped",0.995,10,3,0.695,0.304,0.423,0.268,410
"10_9","mpnet-stripped","mpnet","stripped",0.995,10,4,0.686,0.4,0.505,0.338,547
"10_9","mpnet-stripped","mpnet","stripped",0.995,15,1,0.686,0.4,0.505,0.338,547
"10_9","mpnet-stripped","mpnet","stripped",0.995,15,2,0.819,0.295,0.434,0.277,337
"10_9","mpnet-stripped","mpnet","stripped",0.995,15,3,0.704,0.317,0.437,0.28,422
"10_9","mpnet-stripped","mpnet","stripped",0.995,15,4,0.686,0.401,0.506,0.339,548
"10_9","mpnet-stripped","mpnet","stripped",0.995,20,1,0.685,0.402,0.507,0.34,550
"10_9","mpnet-stripped","mpnet","stripped",0.995,20,2,0.819,0.295,0.434,0.277,337
"10_9","mpnet-stripped","mpnet","stripped",0.995,20,3,0.705,0.324,0.444,0.286,431
"10_9","mpnet-stripped","mpnet","stripped",0.995,20,4,0.686,0.403,0.508,0.341,551
"10_9","mpnet-stripped","mpnet","stripped",0.995,25,1,0.686,0.403,0.508,0.341,551
"10_9","mpnet-stripped","mpnet","stripped",0.995,25,2,0.819,0.295,0.434,0.277,337
"10_9","mpnet-stripped","mpnet","stripped",0.995,25,3,0.706,0.329,0.449,0.289,436
"10_9","mpnet-stripped","mpnet","stripped",0.995,25,4,0.687,0.404,0.509,0.341,552
"10_9","mpnet-stripped","mpnet","stripped",0.995,30,1,0.686,0.403,0.508,0.341,551
"10_9","mpnet-stripped","mpnet","stripped",0.995,30,2,0.819,0.295,0.434,0.277,337
"10_9","mpnet-stripped","mpnet","stripped",0.995,30,3,0.705,0.332,0.451,0.291,441
"10_9","mpnet-stripped","mpnet","stripped",0.995,30,4,0.687,0.404,0.509,0.341,552
"10_9","mpnet-stripped","mpnet","stripped",0.999,3,1,0.694,0.392,0.501,0.334,529
"10_9","mpnet-stripped","mpnet","stripped",0.999,3,2,0.82,0.291,0.43,0.274,333
"10_9","mpnet-stripped","mpnet","stripped",0.999,3,3,0.684,0.254,0.37,0.227,348
"10_9","mpnet-stripped","mpnet","stripped",0.999,3,4,0.694,0.392,0.501,0.334,529
"10_9","mpnet-stripped","mpnet","stripped",0.999,5,1,0.69,0.399,0.506,0.338,542
"10_9","mpnet-stripped","mpnet","stripped",0.999,5,2,0.82,0.291,0.43,0.274,333
"10_9","mpnet-stripped","mpnet","stripped",0.999,5,3,0.688,0.281,0.399,0.249,382
"10_9","mpnet-stripped","mpnet","stripped",0.999,5,4,0.69,0.399,0.506,0.338,542
"10_9","mpnet-stripped","mpnet","stripped",0.999,10,1,0.687,0.4,0.506,0.338,546
"10_9","mpnet-stripped","mpnet","stripped",0.999,10,2,0.82,0.291,0.43,0.274,333
"10_9","mpnet-stripped","mpnet","stripped",0.999,10,3,0.695,0.304,0.423,0.268,410
"10_9","mpnet-stripped","mpnet","stripped",0.999,10,4,0.687,0.4,0.506,0.338,546
"10_9","mpnet-stripped","mpnet","stripped",0.999,15,1,0.687,0.4,0.506,0.338,546
"10_9","mpnet-stripped","mpnet","stripped",0.999,15,2,0.82,0.291,0.43,0.274,333
"10_9","mpnet-stripped","mpnet","stripped",0.999,15,3,0.703,0.316,0.436,0.279,421
"10_9","mpnet-stripped","mpnet","stripped",0.999,15,4,0.687,0.4,0.506,0.338,546
"10_9","mpnet-stripped","mpnet","stripped",0.999,20,1,0.687,0.402,0.507,0.34,549
"10_9","mpnet-stripped","mpnet","stripped",0.999,20,2,0.82,0.291,0.43,0.274,333
"10_9","mpnet-stripped","mpnet","stripped",0.999,20,3,0.705,0.323,0.443,0.285,430
"10_9","mpnet-stripped","mpnet","stripped",0.999,20,4,0.687,0.402,0.507,0.34,549
"10_9","mpnet-stripped","mpnet","stripped",0.999,25,1,0.687,0.403,0.508,0.341,550
"10_9","mpnet-stripped","mpnet","stripped",0.999,25,2,0.82,0.291,0.43,0.274,333
"10_9","mpnet-stripped","mpnet","stripped",0.999,25,3,0.706,0.328,0.448,0.288,435
"10_9","mpnet-stripped","mpnet","stripped",0.999,25,4,0.687,0.403,0.508,0.341,550
"10_9","mpnet-stripped","mpnet","stripped",0.999,30,1,0.687,0.403,0.508,0.341,550
"10_9","mpnet-stripped","mpnet","stripped",0.999,30,2,0.82,0.291,0.43,0.274,333
"10_9","mpnet-stripped","mpnet","stripped",0.999,30,3,0.705,0.331,0.45,0.291,440
"10_9","mpnet-stripped","mpnet","stripped",0.999,30,4,0.687,0.403,0.508,0.341,550
"8_9","mpnet-stripped","mpnet","stripped",0.95,3,1,0.612,0.807,0.696,0.534,436
"8_9","mpnet-stripped","mpnet","stripped",0.95,3,2,0.684,0.74,0.711,0.552,358
"8_9","mpnet-stripped","mpnet","stripped",0.95,3,3,0.771,0.701,0.734,0.58,301
"8_9","mpnet-stripped","mpnet","stripped",0.95,3,4,0.611,0.813,0.698,0.536,440
"8_9","mpnet-stripped","mpnet","stripped",0.95,5,1,0.611,0.807,0.695,0.533,437
"8_9","mpnet-stripped","mpnet","stripped",0.95,5,2,0.684,0.74,0.711,0.552,358
"8_9","mpnet-stripped","mpnet","stripped",0.95,5,3,0.765,0.716,0.74,0.587,310
"8_9","mpnet-stripped","mpnet","stripped",0.95,5,4,0.61,0.813,0.697,0.535,441
"8_9","mpnet-stripped","mpnet","stripped",0.95,10,1,0.607,0.807,0.693,0.53,440
"8_9","mpnet-stripped","mpnet","stripped",0.95,10,2,0.677,0.74,0.707,0.547,362
"8_9","mpnet-stripped","mpnet","stripped",0.95,10,3,0.744,0.728,0.736,0.582,324
"8_9","mpnet-stripped","mpnet","stripped",0.95,10,4,0.6,0.813,0.69,0.527,448
"8_9","mpnet-stripped","mpnet","stripped",0.95,15,1,0.605,0.807,0.692,0.529,441
"8_9","mpnet-stripped","mpnet","stripped",0.95,15,2,0.675,0.746,0.709,0.549,366
"8_9","mpnet-stripped","mpnet","stripped",0.95,15,3,0.735,0.737,0.736,0.582,332
"8_9","mpnet-stripped","mpnet","stripped",0.95,15,4,0.598,0.819,0.691,0.528,453
"8_9","mpnet-stripped","mpnet","stripped",0.95,20,1,0.605,0.807,0.692,0.529,441
"8_9","mpnet-stripped","mpnet","stripped",0.95,20,2,0.669,0.746,0.705,0.545,369
"8_9","mpnet-stripped","mpnet","stripped",0.95,20,3,0.729,0.74,0.734,0.581,336
"8_9","mpnet-stripped","mpnet","stripped",0.95,20,4,0.594,0.819,0.689,0.525,456
"8_9","mpnet-stripped","mpnet","stripped",0.95,25,1,0.605,0.807,0.692,0.529,441
"8_9","mpnet-stripped","mpnet","stripped",0.95,25,2,0.668,0.746,0.705,0.544,370
"8_9","mpnet-stripped","mpnet","stripped",0.95,25,3,0.721,0.74,0.73,0.575,340
"8_9","mpnet-stripped","mpnet","stripped",0.95,25,4,0.593,0.819,0.688,0.524,457
"8_9","mpnet-stripped","mpnet","stripped",0.95,30,1,0.605,0.807,0.692,0.529,441
"8_9","mpnet-stripped","mpnet","stripped",0.95,30,2,0.668,0.746,0.705,0.544,370
"8_9","mpnet-stripped","mpnet","stripped",0.95,30,3,0.718,0.74,0.729,0.574,341
"8_9","mpnet-stripped","mpnet","stripped",0.95,30,4,0.593,0.819,0.688,0.524,457
"8_9","mpnet-stripped","mpnet","stripped",0.99,3,1,0.617,0.807,0.699,0.537,433
"8_9","mpnet-stripped","mpnet","stripped",0.99,3,2,0.69,0.725,0.707,0.547,348
"8_9","mpnet-stripped","mpnet","stripped",0.99,3,3,0.775,0.698,0.734,0.58,298
"8_9","mpnet-stripped","mpnet","stripped",0.99,3,4,0.618,0.81,0.701,0.539,434
"8_9","mpnet-stripped","mpnet","stripped",0.99,5,1,0.615,0.807,0.698,0.536,434
"8_9","mpnet-stripped","mpnet","stripped",0.99,5,2,0.69,0.725,0.707,0.547,348
"8_9","mpnet-stripped","mpnet","stripped",0.99,5,3,0.769,0.713,0.74,0.587,307
"8_9","mpnet-stripped","mpnet","stripped",0.99,5,4,0.616,0.81,0.7,0.538,435
"8_9","mpnet-stripped","mpnet","stripped",0.99,10,1,0.611,0.807,0.695,0.533,437
"8_9","mpnet-stripped","mpnet","stripped",0.99,10,2,0.686,0.725,0.705,0.544,350
"8_9","mpnet-stripped","mpnet","stripped",0.99,10,3,0.752,0.725,0.738,0.585,319
"8_9","mpnet-stripped","mpnet","stripped",0.99,10,4,0.609,0.81,0.695,0.533,440
"8_9","mpnet-stripped","mpnet","stripped",0.99,15,1,0.61,0.807,0.695,0.532,438
"8_9","mpnet-stripped","mpnet","stripped",0.99,15,2,0.684,0.725,0.704,0.543,351
"8_9","mpnet-stripped","mpnet","stripped",0.99,15,3,0.744,0.728,0.736,0.582,324
"8_9","mpnet-stripped","mpnet","stripped",0.99,15,4,0.606,0.81,0.693,0.531,442
"8_9","mpnet-stripped","mpnet","stripped",0.99,20,1,0.61,0.807,0.695,0.532,438
"8_9","mpnet-stripped","mpnet","stripped",0.99,20,2,0.684,0.725,0.704,0.543,351
"8_9","mpnet-stripped","mpnet","stripped",0.99,20,3,0.745,0.731,0.738,0.585,325
"8_9","mpnet-stripped","mpnet","stripped",0.99,20,4,0.606,0.81,0.693,0.531,442
"8_9","mpnet-stripped","mpnet","stripped",0.99,25,1,0.61,0.807,0.695,0.532,438
"8_9","mpnet-stripped","mpnet","stripped",0.99,25,2,0.684,0.725,0.704,0.543,351
"8_9","mpnet-stripped","mpnet","stripped",0.99,25,3,0.738,0.731,0.734,0.58,328
"8_9","mpnet-stripped","mpnet","stripped",0.99,25,4,0.606,0.81,0.693,0.531,442
"8_9","mpnet-stripped","mpnet","stripped",0.99,30,1,0.61,0.807,0.695,0.532,438
"8_9","mpnet-stripped","mpnet","stripped",0.99,30,2,0.684,0.725,0.704,0.543,351
"8_9","mpnet-stripped","mpnet","stripped",0.99,30,3,0.736,0.731,0.733,0.579,329
"8_9","mpnet-stripped","mpnet","stripped",0.99,30,4,0.606,0.81,0.693,0.531,442
"8_9","mpnet-stripped","mpnet","stripped",0.995,3,1,0.618,0.807,0.7,0.538,432
"8_9","mpnet-stripped","mpnet","stripped",0.995,3,2,0.689,0.716,0.702,0.541,344
"8_9","mpnet-stripped","mpnet","stripped",0.995,3,3,0.774,0.695,0.732,0.578,297
"8_9","mpnet-stripped","mpnet","stripped",0.995,3,4,0.618,0.807,0.7,0.538,432
"8_9","mpnet-stripped","mpnet","stripped",0.995,5,1,0.617,0.807,0.699,0.537,433
"8_9","mpnet-stripped","mpnet","stripped",0.995,5,2,0.689,0.716,0.702,0.541,344
"8_9","mpnet-stripped","mpnet","stripped",0.995,5,3,0.768,0.71,0.738,0.585,306
"8_9","mpnet-stripped","mpnet","stripped",0.995,5,4,0.617,0.807,0.699,0.537,433
"8_9","mpnet-stripped","mpnet","stripped",0.995,10,1,0.612,0.807,0.696,0.534,436
"8_9","mpnet-stripped","mpnet","stripped",0.995,10,2,0.685,0.716,0.7,0.539,346
"8_9","mpnet-stripped","mpnet","stripped",0.995,10,3,0.752,0.722,0.737,0.583,318
"8_9","mpnet-stripped","mpnet","stripped",0.995,10,4,0.61,0.807,0.695,0.532,438
"8_9","mpnet-stripped","mpnet","stripped",0.995,15,1,0.611,0.807,0.695,0.533,437
"8_9","mpnet-stripped","mpnet","stripped",0.995,15,2,0.685,0.716,0.7,0.539,346
"8_9","mpnet-stripped","mpnet","stripped",0.995,15,3,0.745,0.725,0.735,0.581,322
"8_9","mpnet-stripped","mpnet","stripped",0.995,15,4,0.608,0.807,0.694,0.531,439
"8_9","mpnet-stripped","mpnet","stripped",0.995,20,1,0.611,0.807,0.695,0.533,437
"8_9","mpnet-stripped","mpnet","stripped",0.995,20,2,0.685,0.716,0.7,0.539,346
"8_9","mpnet-stripped","mpnet","stripped",0.995,20,3,0.746,0.728,0.737,0.584,323
