"track","family","model","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy"
"10_9","SapBERT","SapBERT-base-nocode",0.95,30,4,0.732,0.443,0.552,0.381
"10_9","mpnet","mpnet-base-nocode",0.95,25,4,0.711,0.435,0.54,0.37
"10_9","ClinicalBERT","ClinicalBERT-stopwords-nocode",0.99,25,4,0.624,0.387,0.478,0.314
"8_9","SapBERT","SapBERT-base-regen",0.99,3,2,0.739,0.785,0.761,0.615
"8_9","mpnet","mpnet-base",0.95,5,3,0.767,0.716,0.741,0.588
"8_9","ClinicalBERT","ClinicalBERT-stripped",0.999,10,3,0.752,0.695,0.722,0.565
