"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,5,2,0.911,0.329,0.483,0.319,338
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,5,3,0.693,0.276,0.395,0.246,374
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,5,4,0.739,0.419,0.535,0.365,532
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,10,1,0.734,0.418,0.533,0.363,534
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,10,2,0.911,0.329,0.483,0.319,338
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,10,3,0.703,0.305,0.425,0.27,407
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,10,4,0.735,0.419,0.534,0.364,535
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,15,1,0.735,0.419,0.534,0.364,535
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,15,2,0.911,0.329,0.483,0.319,338
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,15,3,0.713,0.321,0.443,0.284,422
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,15,4,0.735,0.42,0.535,0.365,536
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,20,1,0.735,0.423,0.537,0.367,539
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,20,2,0.911,0.329,0.483,0.319,338
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,20,3,0.717,0.332,0.454,0.293,434
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,20,4,0.735,0.424,0.538,0.368,540
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,25,1,0.735,0.424,0.538,0.368,540
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,25,2,0.911,0.329,0.483,0.319,338
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,25,3,0.718,0.337,0.459,0.298,440
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,25,4,0.736,0.425,0.539,0.369,541
"10_9","SapBERT-base-nocode","SapBERT","base",0.995,30,1,0.735,0.424,0.538,0.368,540
