"model","mode","threshold","top_n","flag","scenario","precision","recall","f1","accuracy","codes_emitted","tp","fp","fn","sim_pairs_kept","icd9_with_any_sim"
"ClinicalBERT","absolute",0.92,20,4,"any of the three",0.38,0.425,0.401,0.251,1048,398,650,539,31160,342
"ClinicalBERT","absolute",0.92,25,1,"top cosine or top co-occurrence",0.595,0.365,0.452,0.292,575,342,233,595,31160,342
"ClinicalBERT","absolute",0.92,25,2,"top cosine or in both lists",0.343,0.348,0.345,0.209,950,326,624,611,31160,342
"ClinicalBERT","absolute",0.92,25,3,"top co-occurrence or in both lists",0.368,0.375,0.371,0.228,953,351,602,586,31160,342
"ClinicalBERT","absolute",0.92,25,4,"any of the three",0.364,0.43,0.394,0.246,1107,403,704,534,31160,342
"ClinicalBERT","absolute",0.92,30,1,"top cosine or top co-occurrence",0.595,0.365,0.452,0.292,575,342,233,595,31160,342
"ClinicalBERT","absolute",0.92,30,2,"top cosine or in both lists",0.325,0.354,0.339,0.204,1022,332,690,605,31160,342
"ClinicalBERT","absolute",0.92,30,3,"top co-occurrence or in both lists",0.349,0.383,0.365,0.223,1030,359,671,578,31160,342
"ClinicalBERT","absolute",0.92,30,4,"any of the three",0.347,0.436,0.386,0.24,1179,409,770,528,31160,342
"ClinicalBERT","absolute",0.95,3,1,"top cosine or top co-occurrence",0.645,0.334,0.44,0.282,485,313,172,624,5893,282
"ClinicalBERT","absolute",0.95,3,2,"top cosine or in both lists",0.68,0.236,0.35,0.212,325,221,104,716,5893,282
"ClinicalBERT","absolute",0.95,3,3,"top co-occurrence or in both lists",0.632,0.251,0.359,0.219,372,235,137,702,5893,282
"ClinicalBERT","absolute",0.95,3,4,"any of the three",0.615,0.343,0.44,0.282,522,321,201,616,5893,282
"ClinicalBERT","absolute",0.95,5,1,"top cosine or top co-occurrence",0.644,0.344,0.448,0.289,500,322,178,615,5893,282
"ClinicalBERT","absolute",0.95,5,2,"top cosine or in both lists",0.641,0.238,0.347,0.21,348,223,125,714,5893,282
"ClinicalBERT","absolute",0.95,5,3,"top co-occurrence or in both lists",0.61,0.273,0.377,0.233,420,256,164,681,5893,282
"ClinicalBERT","absolute",0.95,5,4,"any of the three",0.593,0.354,0.443,0.285,560,332,228,605,5893,282
"ClinicalBERT","absolute",0.95,10,1,"top cosine or top co-occurrence",0.641,0.345,0.449,0.289,504,323,181,614,5893,282
"ClinicalBERT","absolute",0.95,10,2,"top cosine or in both lists",0.583,0.244,0.344,0.208,393,229,164,708,5893,282
"ClinicalBERT","absolute",0.95,10,3,"top co-occurrence or in both lists",0.576,0.301,0.395,0.246,490,282,208,655,5893,282
"ClinicalBERT","absolute",0.95,10,4,"any of the three",0.557,0.362,0.439,0.281,609,339,270,598,5893,282
"ClinicalBERT","absolute",0.95,15,1,"top cosine or top co-occurrence",0.641,0.345,0.449,0.289,504,323,181,614,5893,282
"ClinicalBERT","absolute",0.95,15,2,"top cosine or in both lists",0.539,0.249,0.341,0.205,432,233,199,704,5893,282
"ClinicalBERT","absolute",0.95,15,3,"top co-occurrence or in both lists",0.545,0.314,0.398,0.249,539,294,245,643,5893,282
"ClinicalBERT","absolute",0.95,15,4,"any of the three",0.529,0.366,0.433,0.276,648,343,305,594,5893,282
"ClinicalBERT","absolute",0.95,20,1,"top cosine or top co-occurrence",0.641,0.347,0.45,0.29,507,325,182,612,5893,282
"ClinicalBERT","absolute",0.95,20,2,"top cosine or in both lists",0.511,0.254,0.339,0.204,466,238,228,699,5893,282
"ClinicalBERT","absolute",0.95,20,3,"top co-occurrence or in both lists",0.525,0.326,0.402,0.251,581,305,276,632,5893,282
"ClinicalBERT","absolute",0.95,20,4,"any of the three",0.511,0.374,0.432,0.275,685,350,335,587,5893,282
"ClinicalBERT","absolute",0.95,25,1,"top cosine or top co-occurrence",0.642,0.348,0.451,0.291,508,326,182,611,5893,282
"ClinicalBERT","absolute",0.95,25,2,"top cosine or in both lists",0.492,0.256,0.337,0.203,488,240,248,697,5893,282
"ClinicalBERT","absolute",0.95,25,3,"top co-occurrence or in both lists",0.508,0.33,0.4,0.25,608,309,299,628,5893,282
"ClinicalBERT","absolute",0.95,25,4,"any of the three",0.499,0.377,0.43,0.273,708,353,355,584,5893,282
"ClinicalBERT","absolute",0.95,30,1,"top cosine or top co-occurrence",0.642,0.348,0.451,0.291,508,326,182,611,5893,282
"ClinicalBERT","absolute",0.95,30,2,"top cosine or in both lists",0.468,0.257,0.332,0.199,515,241,274,696,5893,282
"ClinicalBERT","absolute",0.95,30,3,"top co-occurrence or in both lists",0.488,0.333,0.396,0.247,639,312,327,625,5893,282
"ClinicalBERT","absolute",0.95,30,4,"any of the three",0.482,0.378,0.424,0.269,735,354,381,583,5893,282
"ClinicalBERT","absolute",0.97,3,1,"top cosine or top co-occurrence",0.688,0.313,0.43,0.274,426,293,133,644,1700,203
"ClinicalBERT","absolute",0.97,3,2,"top cosine or in both lists",0.845,0.187,0.306,0.181,207,175,32,762,1700,203
"ClinicalBERT","absolute",0.97,3,3,"top co-occurrence or in both lists",0.672,0.247,0.361,0.22,344,231,113,706,1700,203
"ClinicalBERT","absolute",0.97,3,4,"any of the three",0.683,0.318,0.434,0.277,436,298,138,639,1700,203
"ClinicalBERT","absolute",0.97,5,1,"top cosine or top co-occurrence",0.686,0.323,0.439,0.282,442,303,139,634,1700,203
"ClinicalBERT","absolute",0.97,5,2,"top cosine or in both lists",0.829,0.187,0.305,0.18,211,175,36,762,1700,203
"ClinicalBERT","absolute",0.97,5,3,"top co-occurrence or in both lists",0.668,0.265,0.379,0.234,371,248,123,689,1700,203
"ClinicalBERT","absolute",0.97,5,4,"any of the three",0.675,0.329,0.442,0.284,456,308,148,629,1700,203
"ClinicalBERT","absolute",0.97,10,1,"top cosine or top co-occurrence",0.682,0.326,0.441,0.283,447,305,142,632,1700,203
"ClinicalBERT","absolute",0.97,10,2,"top cosine or in both lists",0.779,0.188,0.303,0.178,226,176,50,761,1700,203
"ClinicalBERT","absolute",0.97,10,3,"top co-occurrence or in both lists",0.653,0.283,0.395,0.246,406,265,141,672,1700,203
"ClinicalBERT","absolute",0.97,10,4,"any of the three",0.653,0.332,0.44,0.282,476,311,165,626,1700,203
"ClinicalBERT","absolute",0.97,15,1,"top cosine or top co-occurrence",0.683,0.327,0.442,0.284,448,306,142,631,1700,203
"ClinicalBERT","absolute",0.97,15,2,"top cosine or in both lists",0.747,0.189,0.302,0.178,237,177,60,760,1700,203
"ClinicalBERT","absolute",0.97,15,3,"top co-occurrence or in both lists",0.641,0.291,0.4,0.25,426,273,153,664,1700,203
"ClinicalBERT","absolute",0.97,15,4,"any of the three",0.641,0.334,0.439,0.281,488,313,175,624,1700,203
"ClinicalBERT","absolute",0.97,20,1,"top cosine or top co-occurrence",0.683,0.329,0.444,0.285,451,308,143,629,1700,203
"ClinicalBERT","absolute",0.97,20,2,"top cosine or in both lists",0.716,0.191,0.302,0.178,250,179,71,758,1700,203
"ClinicalBERT","absolute",0.97,20,3,"top co-occurrence or in both lists",0.63,0.3,0.406,0.255,446,281,165,656,1700,203
"ClinicalBERT","absolute",0.97,20,4,"any of the three",0.629,0.338,0.44,0.282,504,317,187,620,1700,203
"ClinicalBERT","absolute",0.97,25,1,"top cosine or top co-occurrence",0.684,0.33,0.445,0.286,452,309,143,628,1700,203
"ClinicalBERT","absolute",0.97,25,2,"top cosine or in both lists",0.699,0.191,0.3,0.177,256,179,77,758,1700,203
"ClinicalBERT","absolute",0.97,25,3,"top co-occurrence or in both lists",0.621,0.302,0.406,0.255,456,283,173,654,1700,203
"ClinicalBERT","absolute",0.97,25,4,"any of the three",0.622,0.339,0.439,0.281,511,318,193,619,1700,203
"ClinicalBERT","absolute",0.97,30,1,"top cosine or top co-occurrence",0.684,0.33,0.445,0.286,452,309,143,628,1700,203
"ClinicalBERT","absolute",0.97,30,2,"top cosine or in both lists",0.678,0.191,0.298,0.175,264,179,85,758,1700,203
"ClinicalBERT","absolute",0.97,30,3,"top co-occurrence or in both lists",0.612,0.304,0.406,0.255,466,285,181,652,1700,203
"ClinicalBERT","absolute",0.97,30,4,"any of the three",0.613,0.339,0.437,0.279,519,318,201,619,1700,203
"ClinicalBERT","absolute",0.98,3,1,"top cosine or top co-occurrence",0.698,0.308,0.427,0.272,414,289,125,648,567,171
"ClinicalBERT","absolute",0.98,3,2,"top cosine or in both lists",0.884,0.163,0.275,0.16,173,153,20,784,567,171
"ClinicalBERT","absolute",0.98,3,3,"top co-occurrence or in both lists",0.675,0.241,0.355,0.216,335,226,109,711,567,171
"ClinicalBERT","absolute",0.98,3,4,"any of the three",0.696,0.308,0.427,0.272,415,289,126,648,567,171
"ClinicalBERT","absolute",0.98,5,1,"top cosine or top co-occurrence",0.695,0.319,0.437,0.28,430,299,131,638,567,171
"ClinicalBERT","absolute",0.98,5,2,"top cosine or in both lists",0.879,0.163,0.275,0.16,174,153,21,784,567,171
"ClinicalBERT","absolute",0.98,5,3,"top co-occurrence or in both lists",0.677,0.259,0.375,0.231,359,243,116,694,567,171
"ClinicalBERT","absolute",0.98,5,4,"any of the three",0.692,0.319,0.437,0.279,432,299,133,638,567,171
"ClinicalBERT","absolute",0.98,10,1,"top cosine or top co-occurrence",0.692,0.321,0.439,0.281,435,301,134,636,567,171
"ClinicalBERT","absolute",0.98,10,2,"top cosine or in both lists",0.865,0.164,0.276,0.16,178,154,24,783,567,171
"ClinicalBERT","absolute",0.98,10,3,"top co-occurrence or in both lists",0.681,0.277,0.394,0.246,382,260,122,677,567,171
"ClinicalBERT","absolute",0.98,10,4,"any of the three",0.685,0.322,0.438,0.281,441,302,139,635,567,171
"ClinicalBERT","absolute",0.98,15,1,"top cosine or top co-occurrence",0.693,0.322,0.44,0.282,436,302,134,635,567,171
"ClinicalBERT","absolute",0.98,15,2,"top cosine or in both lists",0.856,0.164,0.275,0.16,180,154,26,783,567,171
"ClinicalBERT","absolute",0.98,15,3,"top co-occurrence or in both lists",0.68,0.284,0.401,0.25,391,266,125,671,567,171
"ClinicalBERT","absolute",0.98,15,4,"any of the three",0.682,0.323,0.438,0.281,444,303,141,634,567,171
"ClinicalBERT","absolute",0.98,20,1,"top cosine or top co-occurrence",0.693,0.326,0.443,0.285,440,305,135,632,567,171
"ClinicalBERT","absolute",0.98,20,2,"top cosine or in both lists",0.838,0.165,0.276,0.16,185,155,30,782,567,171
"ClinicalBERT","absolute",0.98,20,3,"top co-occurrence or in both lists",0.677,0.291,0.407,0.256,403,273,130,664,567,171
"ClinicalBERT","absolute",0.98,20,4,"any of the three",0.678,0.328,0.442,0.283,453,307,146,630,567,171
"ClinicalBERT","absolute",0.98,25,1,"top cosine or top co-occurrence",0.694,0.327,0.445,0.285,441,306,135,631,567,171
"ClinicalBERT","absolute",0.98,25,2,"top cosine or in both lists",0.82,0.165,0.275,0.16,189,155,34,782,567,171
"ClinicalBERT","absolute",0.98,25,3,"top co-occurrence or in both lists",0.671,0.293,0.408,0.257,410,275,135,662,567,171
"ClinicalBERT","absolute",0.98,25,4,"any of the three",0.672,0.329,0.442,0.283,458,308,150,629,567,171
"ClinicalBERT","absolute",0.98,30,1,"top cosine or top co-occurrence",0.694,0.327,0.445,0.285,441,306,135,631,567,171
"ClinicalBERT","absolute",0.98,30,2,"top cosine or in both lists",0.803,0.165,0.274,0.159,193,155,38,782,567,171
"ClinicalBERT","absolute",0.98,30,3,"top co-occurrence or in both lists",0.666,0.296,0.41,0.257,416,277,139,660,567,171
"ClinicalBERT","absolute",0.98,30,4,"any of the three",0.667,0.329,0.441,0.282,462,308,154,629,567,171
"ClinicalBERT","absolute",0.99,3,1,"top cosine or top co-occurrence",0.701,0.275,0.395,0.246,368,258,110,679,129,115
"ClinicalBERT","absolute",0.99,3,2,"top cosine or in both lists",0.965,0.116,0.207,0.116,113,109,4,828,129,115
"ClinicalBERT","absolute",0.99,3,3,"top co-occurrence or in both lists",0.675,0.237,0.351,0.213,329,222,107,715,129,115
"ClinicalBERT","absolute",0.99,3,4,"any of the three",0.701,0.275,0.395,0.246,368,258,110,679,129,115
"ClinicalBERT","absolute",0.99,5,1,"top cosine or top co-occurrence",0.698,0.286,0.406,0.255,384,268,116,669,129,115
"ClinicalBERT","absolute",0.99,5,2,"top cosine or in both lists",0.956,0.116,0.207,0.116,114,109,5,828,129,115
"ClinicalBERT","absolute",0.99,5,3,"top co-occurrence or in both lists",0.675,0.253,0.368,0.225,351,237,114,700,129,115
"ClinicalBERT","absolute",0.99,5,4,"any of the three",0.696,0.286,0.405,0.254,385,268,117,669,129,115
"ClinicalBERT","absolute",0.99,10,1,"top cosine or top co-occurrence",0.695,0.289,0.408,0.257,390,271,119,666,129,115
"ClinicalBERT","absolute",0.99,10,2,"top cosine or in both lists",0.948,0.116,0.207,0.116,115,109,6,828,129,115
"ClinicalBERT","absolute",0.99,10,3,"top co-occurrence or in both lists",0.678,0.265,0.381,0.235,366,248,118,689,129,115
"ClinicalBERT","absolute",0.99,10,4,"any of the three",0.691,0.289,0.408,0.256,392,271,121,666,129,115
"ClinicalBERT","absolute",0.99,15,1,"top cosine or top co-occurrence",0.696,0.29,0.409,0.258,391,272,119,665,129,115
"ClinicalBERT","absolute",0.99,15,2,"top cosine or in both lists",0.948,0.116,0.207,0.116,115,109,6,828,129,115
"ClinicalBERT","absolute",0.99,15,3,"top co-occurrence or in both lists",0.681,0.269,0.386,0.239,370,252,118,685,129,115
"ClinicalBERT","absolute",0.99,15,4,"any of the three",0.692,0.29,0.409,0.257,393,272,121,665,129,115
"ClinicalBERT","absolute",0.99,20,1,"top cosine or top co-occurrence",0.696,0.293,0.412,0.26,395,275,120,662,129,115
"ClinicalBERT","absolute",0.99,20,2,"top cosine or in both lists",0.94,0.116,0.207,0.115,116,109,7,828,129,115
"ClinicalBERT","absolute",0.99,20,3,"top co-occurrence or in both lists",0.682,0.274,0.391,0.243,377,257,120,680,129,115
"ClinicalBERT","absolute",0.99,20,4,"any of the three",0.691,0.293,0.412,0.259,398,275,123,662,129,115
"ClinicalBERT","absolute",0.99,25,1,"top cosine or top co-occurrence",0.697,0.295,0.415,0.261,396,276,120,661,129,115
"ClinicalBERT","absolute",0.99,25,2,"top cosine or in both lists",0.94,0.116,0.207,0.115,116,109,7,828,129,115
"ClinicalBERT","absolute",0.99,25,3,"top co-occurrence or in both lists",0.683,0.276,0.393,0.245,379,259,120,678,129,115
"ClinicalBERT","absolute",0.99,25,4,"any of the three",0.692,0.295,0.414,0.26,399,276,123,661,129,115
"ClinicalBERT","absolute",0.99,30,1,"top cosine or top co-occurrence",0.698,0.296,0.416,0.262,397,277,120,660,129,115
"ClinicalBERT","absolute",0.99,30,2,"top cosine or in both lists",0.932,0.116,0.206,0.115,117,109,8,828,129,115
"ClinicalBERT","absolute",0.99,30,3,"top co-occurrence or in both lists",0.683,0.279,0.396,0.247,382,261,121,676,129,115
"ClinicalBERT","absolute",0.99,30,4,"any of the three",0.691,0.296,0.414,0.261,401,277,124,660,129,115
"ClinicalBERT","relative",0.95,3,1,"top cosine or top co-occurrence",0.587,0.354,0.442,0.284,566,332,234,605,33467,354
"ClinicalBERT","relative",0.95,3,2,"top cosine or in both lists",0.597,0.313,0.411,0.258,491,293,198,644,33467,354
"ClinicalBERT","relative",0.95,3,3,"top co-occurrence or in both lists",0.618,0.264,0.37,0.227,400,247,153,690,33467,354
"ClinicalBERT","relative",0.95,3,4,"any of the three",0.558,0.376,0.449,0.289,631,352,279,585,33467,354
"ClinicalBERT","relative",0.95,5,1,"top cosine or top co-occurrence",0.588,0.364,0.45,0.29,580,341,239,596,33467,354
"ClinicalBERT","relative",0.95,5,2,"top cosine or in both lists",0.548,0.324,0.407,0.256,555,304,251,633,33467,354
"ClinicalBERT","relative",0.95,5,3,"top co-occurrence or in both lists",0.566,0.295,0.388,0.24,488,276,212,661,33467,354
"ClinicalBERT","relative",0.95,5,4,"any of the three",0.523,0.394,0.449,0.29,706,369,337,568,33467,354
"ClinicalBERT","relative",0.95,10,1,"top cosine or top co-occurrence",0.586,0.365,0.45,0.29,584,342,242,595,33467,354
"ClinicalBERT","relative",0.95,10,2,"top cosine or in both lists",0.485,0.347,0.405,0.254,670,325,345,612,33467,354
"ClinicalBERT","relative",0.95,10,3,"top co-occurrence or in both lists",0.503,0.338,0.404,0.254,630,317,313,620,33467,354
"ClinicalBERT","relative",0.95,10,4,"any of the three",0.473,0.416,0.443,0.284,824,390,434,547,33467,354
"ClinicalBERT","relative",0.95,15,1,"top cosine or top co-occurrence",0.586,0.365,0.45,0.29,584,342,242,595,33467,354
"ClinicalBERT","relative",0.95,15,2,"top cosine or in both lists",0.445,0.358,0.397,0.247,753,335,418,602,33467,354
"ClinicalBERT","relative",0.95,15,3,"top co-occurrence or in both lists",0.464,0.361,0.406,0.255,728,338,390,599,33467,354
"ClinicalBERT","relative",0.95,15,4,"any of the three",0.441,0.427,0.434,0.277,907,400,507,537,33467,354
"ClinicalBERT","relative",0.95,20,1,"top cosine or top co-occurrence",0.586,0.367,0.451,0.292,587,344,243,593,33467,354
"ClinicalBERT","relative",0.95,20,2,"top cosine or in both lists",0.418,0.367,0.391,0.243,822,344,478,593,33467,354
"ClinicalBERT","relative",0.95,20,3,"top co-occurrence or in both lists",0.439,0.378,0.406,0.255,806,354,452,583,33467,354
"ClinicalBERT","relative",0.95,20,4,"any of the three",0.42,0.439,0.429,0.273,978,411,567,526,33467,354
"ClinicalBERT","relative",0.95,25,1,"top cosine or top co-occurrence",0.587,0.368,0.452,0.292,588,345,243,592,33467,354
"ClinicalBERT","relative",0.95,25,2,"top cosine or in both lists",0.395,0.374,0.384,0.238,885,350,535,587,33467,354
"ClinicalBERT","relative",0.95,25,3,"top co-occurrence or in both lists",0.414,0.387,0.4,0.25,876,363,513,574,33467,354
"ClinicalBERT","relative",0.95,25,4,"any of the three",0.401,0.446,0.422,0.268,1042,418,624,519,33467,354
"ClinicalBERT","relative",0.95,30,1,"top cosine or top co-occurrence",0.587,0.368,0.452,0.292,588,345,243,592,33467,354
"ClinicalBERT","relative",0.95,30,2,"top cosine or in both lists",0.378,0.381,0.379,0.234,944,357,587,580,33467,354
"ClinicalBERT","relative",0.95,30,3,"top co-occurrence or in both lists",0.396,0.397,0.396,0.247,940,372,568,565,33467,354
"ClinicalBERT","relative",0.95,30,4,"any of the three",0.386,0.454,0.417,0.263,1101,425,676,512,33467,354
"ClinicalBERT","relative",0.99,3,1,"top cosine or top co-occurrence",0.617,0.348,0.445,0.286,528,326,202,611,1208,354
"ClinicalBERT","relative",0.99,3,2,"top cosine or in both lists",0.685,0.237,0.352,0.214,324,222,102,715,1208,354
"ClinicalBERT","relative",0.99,3,3,"top co-occurrence or in both lists",0.676,0.242,0.356,0.217,336,227,109,710,1208,354
"ClinicalBERT","relative",0.99,3,4,"any of the three",0.617,0.349,0.446,0.287,530,327,203,610,1208,354
"ClinicalBERT","relative",0.99,5,1,"top cosine or top co-occurrence",0.618,0.358,0.453,0.293,542,335,207,602,1208,354
"ClinicalBERT","relative",0.99,5,2,"top cosine or in both lists",0.681,0.237,0.352,0.213,326,222,104,715,1208,354
"ClinicalBERT","relative",0.99,5,3,"top co-occurrence or in both lists",0.679,0.265,0.381,0.235,365,248,117,689,1208,354
"ClinicalBERT","relative",0.99,5,4,"any of the three",0.615,0.359,0.453,0.293,546,336,210,601,1208,354
"ClinicalBERT","relative",0.99,10,1,"top cosine or top co-occurrence",0.615,0.359,0.453,0.293,546,336,210,601,1208,354
"ClinicalBERT","relative",0.99,10,2,"top cosine or in both lists",0.668,0.24,0.353,0.214,337,225,112,712,1208,354
"ClinicalBERT","relative",0.99,10,3,"top co-occurrence or in both lists",0.677,0.29,0.406,0.255,402,272,130,665,1208,354
"ClinicalBERT","relative",0.99,10,4,"any of the three",0.606,0.363,0.454,0.294,561,340,221,597,1208,354
"ClinicalBERT","relative",0.99,15,1,"top cosine or top co-occurrence",0.615,0.359,0.453,0.293,546,336,210,601,1208,354
"ClinicalBERT","relative",0.99,15,2,"top cosine or in both lists",0.665,0.241,0.354,0.215,340,226,114,711,1208,354
"ClinicalBERT","relative",0.99,15,3,"top co-occurrence or in both lists",0.676,0.303,0.418,0.265,420,284,136,653,1208,354
"ClinicalBERT","relative",0.99,15,4,"any of the three",0.605,0.364,0.455,0.294,564,341,223,596,1208,354
"ClinicalBERT","relative",0.99,20,1,"top cosine or top co-occurrence",0.616,0.361,0.455,0.294,549,338,211,599,1208,354
"ClinicalBERT","relative",0.99,20,2,"top cosine or in both lists",0.661,0.245,0.357,0.218,348,230,118,707,1208,354
"ClinicalBERT","relative",0.99,20,3,"top co-occurrence or in both lists",0.674,0.315,0.429,0.273,438,295,143,642,1208,354
"ClinicalBERT","relative",0.99,20,4,"any of the three",0.603,0.37,0.459,0.298,575,347,228,590,1208,354
"ClinicalBERT","relative",0.99,25,1,"top cosine or top co-occurrence",0.616,0.362,0.456,0.295,550,339,211,598,1208,354
"ClinicalBERT","relative",0.99,25,2,"top cosine or in both lists",0.656,0.247,0.359,0.218,352,231,121,706,1208,354
"ClinicalBERT","relative",0.99,25,3,"top co-occurrence or in both lists",0.666,0.319,0.431,0.275,449,299,150,638,1208,354
"ClinicalBERT","relative",0.99,25,4,"any of the three",0.602,0.372,0.46,0.299,580,349,231,588,1208,354
"ClinicalBERT","relative",0.99,30,1,"top cosine or top co-occurrence",0.616,0.362,0.456,0.295,550,339,211,598,1208,354
"ClinicalBERT","relative",0.99,30,2,"top cosine or in both lists",0.648,0.248,0.359,0.218,358,232,126,705,1208,354
"ClinicalBERT","relative",0.99,30,3,"top co-occurrence or in both lists",0.659,0.322,0.433,0.276,458,302,156,635,1208,354
"ClinicalBERT","relative",0.99,30,4,"any of the three",0.597,0.374,0.46,0.298,586,350,236,587,1208,354
"ClinicalBERT","relative",0.995,3,1,"top cosine or top co-occurrence",0.624,0.345,0.444,0.285,518,323,195,614,643,354
"ClinicalBERT","relative",0.995,3,2,"top cosine or in both lists",0.697,0.226,0.341,0.206,304,212,92,725,643,354
"ClinicalBERT","relative",0.995,3,3,"top co-occurrence or in both lists",0.677,0.241,0.355,0.216,334,226,108,711,643,354
"ClinicalBERT","relative",0.995,3,4,"any of the three",0.624,0.345,0.444,0.285,518,323,195,614,643,354
"ClinicalBERT","relative",0.995,5,1,"top cosine or top co-occurrence",0.625,0.355,0.453,0.293,533,333,200,604,643,354
"ClinicalBERT","relative",0.995,5,2,"top cosine or in both lists",0.697,0.226,0.341,0.206,304,212,92,725,643,354
"ClinicalBERT","relative",0.995,5,3,"top co-occurrence or in both lists",0.684,0.264,0.381,0.235,361,247,114,690,643,354
"ClinicalBERT","relative",0.995,5,4,"any of the three",0.625,0.355,0.453,0.293,533,333,200,604,643,354
"ClinicalBERT","relative",0.995,10,1,"top cosine or top co-occurrence",0.622,0.356,0.453,0.293,537,334,203,603,643,354
"ClinicalBERT","relative",0.995,10,2,"top cosine or in both lists",0.695,0.228,0.343,0.208,308,214,94,723,643,354
"ClinicalBERT","relative",0.995,10,3,"top co-occurrence or in both lists",0.691,0.288,0.407,0.255,391,270,121,667,643,354
"ClinicalBERT","relative",0.995,10,4,"any of the three",0.621,0.359,0.455,0.294,541,336,205,601,643,354
"ClinicalBERT","relative",0.995,15,1,"top cosine or top co-occurrence",0.622,0.356,0.453,0.293,537,334,203,603,643,354
"ClinicalBERT","relative",0.995,15,2,"top cosine or in both lists",0.693,0.228,0.343,0.207,309,214,95,723,643,354
"ClinicalBERT","relative",0.995,15,3,"top co-occurrence or in both lists",0.69,0.3,0.418,0.264,407,281,126,656,643,354
"ClinicalBERT","relative",0.995,15,4,"any of the three",0.62,0.359,0.455,0.294,542,336,206,601,643,354
"ClinicalBERT","relative",0.995,20,1,"top cosine or top co-occurrence",0.622,0.359,0.455,0.294,540,336,204,601,643,354
"ClinicalBERT","relative",0.995,20,2,"top cosine or in both lists",0.693,0.232,0.348,0.21,313,217,96,720,643,354
"ClinicalBERT","relative",0.995,20,3,"top co-occurrence or in both lists",0.69,0.309,0.427,0.272,420,290,130,647,643,354
"ClinicalBERT","relative",0.995,20,4,"any of the three",0.621,0.364,0.459,0.298,549,341,208,596,643,354
"ClinicalBERT","relative",0.995,25,1,"top cosine or top co-occurrence",0.623,0.36,0.456,0.295,541,337,204,600,643,354
"ClinicalBERT","relative",0.995,25,2,"top cosine or in both lists",0.694,0.233,0.349,0.211,314,218,96,719,643,354
"ClinicalBERT","relative",0.995,25,3,"top co-occurrence or in both lists",0.687,0.314,0.431,0.275,428,294,134,643,643,354
"ClinicalBERT","relative",0.995,25,4,"any of the three",0.623,0.366,0.461,0.3,551,343,208,594,643,354
"ClinicalBERT","relative",0.995,30,1,"top cosine or top co-occurrence",0.623,0.36,0.456,0.295,541,337,204,600,643,354
"ClinicalBERT","relative",0.995,30,2,"top cosine or in both lists",0.688,0.233,0.348,0.21,317,218,99,719,643,354
"ClinicalBERT","relative",0.995,30,3,"top co-occurrence or in both lists",0.682,0.316,0.432,0.275,434,296,138,641,643,354
"ClinicalBERT","relative",0.995,30,4,"any of the three",0.619,0.366,0.46,0.299,554,343,211,594,643,354
"ClinicalBERT","relative",0.999,3,1,"top cosine or top co-occurrence",0.637,0.34,0.443,0.285,501,319,182,618,390,354
"ClinicalBERT","relative",0.999,3,2,"top cosine or in both lists",0.717,0.213,0.328,0.197,279,200,79,737,390,354
"ClinicalBERT","relative",0.999,3,3,"top co-occurrence or in both lists",0.677,0.241,0.355,0.216,334,226,108,711,390,354
"ClinicalBERT","relative",0.999,3,4,"any of the three",0.637,0.34,0.443,0.285,501,319,182,618,390,354
"ClinicalBERT","relative",0.999,5,1,"top cosine or top co-occurrence",0.638,0.351,0.453,0.293,516,329,187,608,390,354
"ClinicalBERT","relative",0.999,5,2,"top cosine or in both lists",0.717,0.213,0.328,0.197,279,200,79,737,390,354
"ClinicalBERT","relative",0.999,5,3,"top co-occurrence or in both lists",0.684,0.264,0.381,0.235,361,247,114,690,390,354
"ClinicalBERT","relative",0.999,5,4,"any of the three",0.638,0.351,0.453,0.293,516,329,187,608,390,354
"ClinicalBERT","relative",0.999,10,1,"top cosine or top co-occurrence",0.635,0.352,0.453,0.293,520,330,190,607,390,354
"ClinicalBERT","relative",0.999,10,2,"top cosine or in both lists",0.714,0.213,0.328,0.197,280,200,80,737,390,354
"ClinicalBERT","relative",0.999,10,3,"top co-occurrence or in both lists",0.693,0.286,0.405,0.254,387,268,119,669,390,354
"ClinicalBERT","relative",0.999,10,4,"any of the three",0.633,0.352,0.452,0.293,521,330,191,607,390,354
"ClinicalBERT","relative",0.999,15,1,"top cosine or top co-occurrence",0.635,0.352,0.453,0.293,520,330,190,607,390,354
"ClinicalBERT","relative",0.999,15,2,"top cosine or in both lists",0.714,0.213,0.328,0.197,280,200,80,737,390,354
"ClinicalBERT","relative",0.999,15,3,"top co-occurrence or in both lists",0.695,0.297,0.416,0.263,400,278,122,659,390,354
"ClinicalBERT","relative",0.999,15,4,"any of the three",0.633,0.352,0.452,0.293,521,330,191,607,390,354
"ClinicalBERT","relative",0.999,20,1,"top cosine or top co-occurrence",0.635,0.354,0.455,0.294,523,332,191,605,390,354
"ClinicalBERT","relative",0.999,20,2,"top cosine or in both lists",0.715,0.215,0.331,0.198,281,201,80,736,390,354
"ClinicalBERT","relative",0.999,20,3,"top co-occurrence or in both lists",0.697,0.304,0.423,0.269,409,285,124,652,390,354
"ClinicalBERT","relative",0.999,20,4,"any of the three",0.634,0.355,0.455,0.295,525,333,192,604,390,354
"ClinicalBERT","relative",0.999,25,1,"top cosine or top co-occurrence",0.635,0.355,0.455,0.295,524,333,191,604,390,354
"ClinicalBERT","relative",0.999,25,2,"top cosine or in both lists",0.715,0.215,0.331,0.198,281,201,80,736,390,354
