"track","variant","objective","n_features","precision","recall","f1","accuracy"
"10_9","full","binary:logistic",52,0.75,0.604049493813273,0.669158878504673,0.502808988764045
"10_9","no_mutual","binary:logistic",36,0.654901960784314,0.56355455568054,0.605804111245466,0.434518647007806
"10_9","no_lexical","binary:logistic",46,0.702319587628866,0.613048368953881,0.654654654654655,0.486607142857143
"10_9","no_cooccurrence","binary:logistic",47,0.734157650695518,0.534308211473566,0.618489583333333,0.447690857681433
"10_9","no_chapter","binary:logistic",49,0.698300283286119,0.554555680539933,0.618181818181818,0.447368421052632
"10_9","no_ensemble","binary:logistic",37,0.730717185385656,0.607424071991001,0.663390663390663,0.496323529411765
"10_9","no_mpnet","binary:logistic",46,0.713178294573643,0.620922384701912,0.663860493084787,0.496849684968497
"10_9","no_clinicalbert","binary:logistic",46,0.73876404494382,0.591676040494938,0.657089319175515,0.489302325581395
"10_9","rank_pairwise","rank:pairwise",52,0.75801749271137,0.584926884139483,0.66031746031746,0.492890995260663
"10_9","rank_ndcg","rank:ndcg",52,0.732193732193732,0.578177727784027,0.646134506599623,0.477251624883937
