"two.stage.system.code","two.stage.system.TP","two.stage.system.FP","two.stage.system.FN","original.rules.code","original.rules.TP","original.rules.FP","original.rules.FN"
"140",1,0,0,"140",1,0,0
"141",2,0,0,"141",2,1,0
"142",2,1,0,"142",2,0,0
"143",1,0,0,"143",1,0,0
"144",1,0,0,"144",1,0,0
"145",2,0,0,"145",1,0,1
"146",2,0,0,"146",2,0,0
"147",1,0,0,"147",1,0,0
"148",1,0,1,"148",1,0,1
"149",1,0,0,"149",1,1,0
"150",1,0,0,"150",1,0,0
"151",1,0,0,"151",1,0,0
"152",1,0,0,"152",1,0,0
"153",1,0,0,"153",1,0,0
"154",3,0,0,"154",2,0,1
"155",1,0,0,"155",1,0,0
"156",2,1,0,"156",2,2,0
"157",1,0,0,"157",1,0,0
"158",2,0,0,"158",1,1,1
"159",1,0,0,"159",1,1,0
"160",2,0,0,"160",2,0,0
"161",1,0,0,"161",1,0,0
"162",2,0,0,"162",1,0,1
"163",2,0,0,"163",2,0,0
"164",1,0,2,"164",2,1,1
"165",1,1,0,"165",1,1,0
"170",2,0,0,"170",1,0,1
"171",1,0,1,"171",1,0,1
"172",1,0,0,"172",1,0,0
"174",1,0,0,"174",1,0,0
"176",1,0,1,"176",1,1,1
"179",1,1,0,"179",1,1,0
"180",1,0,0,"180",1,0,0
"181",1,0,0,"181",1,0,0
"182",1,1,0,"182",1,1,0
"183",1,0,1,"183",1,0,1
"184",1,1,2,"184",2,0,1
"185",1,0,0,"185",1,0,0
"186",1,0,0,"186",1,0,0
"187",2,0,0,"187",2,0,0
"188",1,0,0,"188",1,0,0
"189",3,0,1,"189",1,0,3
"190",1,0,0,"190",1,1,0
"191",1,0,0,"191",1,0,0
"192",1,0,1,"192",1,1,1
"193",1,0,0,"193",1,0,0
"194",2,0,0,"194",2,0,0
"195",1,1,1,"195",0,2,2
"196",1,0,0,"196",1,1,0
"197",1,0,0,"197",1,0,0
"198",1,0,0,"198",1,0,0
"199",1,1,2,"199",0,2,3
"200",1,0,2,"200",2,0,1
"201",1,0,0,"201",1,0,0
"202",2,0,4,"202",2,0,4
"203",1,0,1,"203",1,0,1
"204",1,0,0,"204",1,0,0
"205",1,0,0,"205",1,0,0
"206",1,0,0,"206",1,1,0
"207",1,0,0,"207",1,1,0
"208",1,0,0,"208",1,2,0
"225",2,0,0,"225",2,0,0
"230",2,0,0,"230",1,1,1
"231",1,1,0,"231",0,2,1
"233",1,0,3,"233",1,1,3
"234",1,0,0,"234",1,1,0
"237",1,1,3,"237",1,2,3
"238",1,0,3,"238",2,0,2
"240",1,0,1,"240",1,0,1
"241",1,0,1,"241",1,0,1
"242",1,0,0,"242",1,1,0
"243",2,0,0,"243",1,0,1
"244",2,0,2,"244",1,1,3
"245",1,0,0,"245",1,1,0
"246",1,1,2,"246",1,1,2
"250",2,0,2,"250",3,0,1
"251",1,1,1,"251",1,1,1
"252",1,0,2,"252",1,0,2
"253",2,0,2,"253",1,0,3
"254",1,1,0,"254",1,0,0
"255",3,0,3,"255",1,0,5
"256",1,0,0,"256",1,1,0
"257",1,0,1,"257",1,1,1
"258",1,0,0,"258",1,1,0
"259",2,2,1,"259",1,1,2
"260",2,0,0,"260",1,0,1
"261",1,0,0,"261",1,0,0
"262",1,0,0,"262",1,1,0
"263",3,2,1,"263",1,2,3
"268",1,0,2,"268",1,1,2
"270",3,0,0,"270",2,1,1
"271",2,0,1,"271",1,1,2
"272",2,0,2,"272",1,1,3
"273",0,2,5,"273",0,2,5
"274",1,0,0,"274",0,1,1
"275",1,0,1,"275",1,0,1
"277",2,2,6,"277",2,0,6
"278",3,0,1,"278",2,0,2
"279",2,0,4,"279",0,1,6
"280",1,1,0,"280",1,1,0
"282",2,0,2,"282",2,0,2
"283",1,1,0,"283",1,0,0
"284",2,1,1,"284",1,0,2
"285",2,2,1,"285",1,0,2
"286",4,0,0,"286",1,0,3
"287",1,0,0,"287",1,0,0
"288",3,2,1,"288",2,0,2
"289",2,0,5,"289",2,0,5
"290",1,2,2,"290",1,0,2
"291",1,4,0,"291",1,0,0
"292",6,0,2,"292",1,1,7
"294",0,1,5,"294",0,2,5
"295",4,0,0,"295",2,0,2
"296",6,1,1,"296",3,0,4
"297",2,1,0,"297",1,0,1
"298",3,1,2,"298",2,0,3
"299",1,3,0,"299",1,0,0
"300",4,0,6,"300",1,0,9
"301",5,1,1,"301",1,1,5
"303",1,0,0,"303",1,1,0
"304",3,0,4,"304",1,1,6
"305",1,0,10,"305",2,0,9
"306",2,0,1,"306",1,1,2
"307",2,1,1,"307",1,0,2
"308",1,0,0,"308",1,0,0
"309",1,0,1,"309",1,0,1
"310",2,0,0,"310",2,0,0
"311",1,1,1,"311",1,0,1
"312",1,1,2,"312",1,0,2
"314",1,0,0,"314",1,0,0
"315",1,0,5,"315",3,0,3
"316",1,1,0,"316",0,1,1
"317",1,5,0,"317",1,1,0
"318",0,1,3,"318",1,2,2
"319",1,2,1,"319",1,1,1
"330",1,0,2,"330",0,2,3
"331",3,0,3,"331",2,0,4
"332",3,0,0,"332",1,0,2
"333",3,0,4,"333",2,0,5
"334",1,0,1,"334",1,0,1
"335",1,0,0,"335",1,1,0
"336",1,0,3,"336",2,0,2
"337",1,0,1,"337",1,0,1
"340",1,0,0,"340",1,0,0
"341",2,0,0,"341",1,0,1
"342",1,0,0,"342",1,0,0
"343",1,0,0,"343",1,0,0
"344",2,0,0,"344",2,0,0
"345",2,0,0,"345",1,0,1
"346",1,0,1,"346",1,0,1
"347",1,0,0,"347",1,0,0
"348",1,3,0,"348",1,1,0
"353",2,0,0,"353",1,0,1
"354",1,1,1,"354",1,0,1
"355",1,1,2,"355",1,1,2
"356",2,1,0,"356",2,0,0
"357",3,0,0,"357",1,0,2
"358",2,0,0,"358",2,1,0
"359",2,0,1,"359",2,0,1
"360",1,0,1,"360",1,0,1
"361",1,0,0,"361",1,0,0
"362",2,0,2,"362",2,1,2
"363",3,0,0,"363",2,0,1
"364",3,0,0,"364",3,1,0
"365",2,0,1,"365",1,0,2
"366",2,0,1,"366",2,0,1
"369",1,1,0,"369",1,2,0
"370",1,0,1,"370",1,0,1
"371",3,0,0,"371",1,1,2
"372",3,0,0,"372",2,0,1
"376",2,0,0,"376",1,0,1
"377",3,0,0,"377",2,0,1
"379",4,3,5,"379",2,0,7
"380",2,0,1,"380",2,0,1
"381",2,1,1,"381",1,1,2
"382",1,1,1,"382",1,0,1
"383",1,0,2,"383",1,0,2
"384",2,0,0,"384",2,0,0
"386",3,0,0,"386",2,0,1
"389",2,0,0,"389",2,0,0
"393",0,2,1,"393",0,2,1
"394",2,1,0,"394",0,2,2
"395",1,1,1,"395",0,1,2
"396",1,1,0,"396",1,1,0
"397",0,3,3,"397",0,3,3
"398",1,0,1,"398",1,1,1
"401",1,0,0,"401",1,0,0
"402",1,0,0,"402",1,1,0
"403",1,0,0,"403",1,1,0
"404",1,0,0,"404",0,2,1
"405",1,0,0,"405",1,1,0
"410",1,1,2,"410",1,0,2
"411",1,1,1,"411",1,1,1
"412",0,1,1,"412",0,1,1
"413",1,0,0,"413",1,1,0
"414",1,0,0,"414",1,1,0
"415",1,0,0,"415",1,1,0
"416",1,0,1,"416",1,1,1
"417",1,1,0,"417",1,2,0
"423",1,0,1,"423",1,0,1
"424",0,1,6,"424",1,1,5
"425",2,0,1,"425",1,1,2
"426",2,0,0,"426",2,1,0
"427",2,0,3,"427",2,0,3
"428",1,1,0,"428",1,0,0
"429",1,0,5,"429",1,2,5
"430",1,0,0,"430",1,0,0
"431",1,0,0,"431",1,0,0
"432",1,0,0,"432",1,1,0
"433",1,0,2,"433",1,0,2
"434",2,1,1,"434",1,0,2
"435",1,2,0,"435",0,3,1
"436",0,3,2,"436",0,3,2
"437",2,1,2,"437",1,1,3
"438",1,1,0,"438",1,1,0
"440",1,0,0,"440",1,1,0
"441",1,1,0,"441",1,0,0
"442",1,0,0,"442",1,0,0
"443",1,0,1,"443",1,1,1
"444",1,0,0,"444",1,1,0
"446",1,0,1,"446",0,1,2
"447",1,1,2,"447",1,0,2
"448",1,0,1,"448",1,0,1
"453",1,1,0,"453",1,1,0
"456",2,1,1,"456",2,0,1
"457",1,0,0,"457",1,0,0
"459",1,1,1,"459",1,1,1
"472",1,0,0,"472",1,2,0
"473",1,2,0,"473",1,0,0
