"track","model","sim_mode","sim_param","top_n","chapter_filter","pool_pairs","pool_per_code","recall_ceiling","oracle_f1"
"10_9","SapBERT","relative",0.85,10,FALSE,5754,16.25,0.6681,0.801
"10_9","SapBERT","relative",0.85,20,TRUE,2933,8.29,0.6862,0.8139
"10_9","SapBERT","relative",0.85,20,FALSE,8969,25.34,0.7097,0.8302
"10_9","SapBERT","relative",0.85,30,TRUE,3431,9.69,0.715,0.8339
"10_9","SapBERT","relative",0.85,30,FALSE,12120,34.24,0.7396,0.8503
"10_9","SapBERT","relative",0.85,50,TRUE,4335,12.25,0.7524,0.8587
"10_9","SapBERT","relative",0.85,50,FALSE,18010,50.88,0.7812,0.8772
"10_9","SapBERT","relative",0.8,3,TRUE,2773,7.86,0.6734,0.8048
"10_9","SapBERT","relative",0.8,3,FALSE,7353,20.77,0.6884,0.8154
"10_9","SapBERT","relative",0.8,5,TRUE,2966,8.4,0.6905,0.8169
"10_9","SapBERT","relative",0.8,5,FALSE,7952,22.46,0.7065,0.828
"10_9","SapBERT","relative",0.8,10,TRUE,3351,9.47,0.7076,0.8288
"10_9","SapBERT","relative",0.8,10,FALSE,9505,26.85,0.7279,0.8425
"10_9","SapBERT","relative",0.8,20,TRUE,3889,10.99,0.7385,0.8496
"10_9","SapBERT","relative",0.8,20,FALSE,12631,35.68,0.7631,0.8656
"10_9","SapBERT","relative",0.8,30,TRUE,4357,12.31,0.7641,0.8663
"10_9","SapBERT","relative",0.8,30,FALSE,15719,44.4,0.7898,0.8825
"10_9","SapBERT","relative",0.8,50,TRUE,5202,14.69,0.793,0.8845
"10_9","SapBERT","relative",0.8,50,FALSE,21506,60.75,0.8228,0.9028
"10_9","SapBERT","topk",1,3,TRUE,702,2.01,0.4152,0.5867
"10_9","SapBERT","topk",1,3,FALSE,1232,3.48,0.4248,0.5963
"10_9","SapBERT","topk",1,5,TRUE,952,2.7,0.4504,0.621
"10_9","SapBERT","topk",1,5,FALSE,1901,5.37,0.461,0.6311
"10_9","SapBERT","topk",1,10,TRUE,1425,4.03,0.5027,0.669
"10_9","SapBERT","topk",1,10,FALSE,3574,10.1,0.5176,0.6821
"10_9","SapBERT","topk",1,20,TRUE,2070,5.85,0.5592,0.7173
"10_9","SapBERT","topk",1,20,FALSE,6868,19.4,0.5806,0.7346
"10_9","SapBERT","topk",1,30,TRUE,2604,7.36,0.5987,0.749
"10_9","SapBERT","topk",1,30,FALSE,10073,28.45,0.6211,0.7663
