n_categories,n_improved,n_unchanged,n_regressed,mean_delta,worst_regression,track
130,72,42,16,0.0997923076923077,-0.333,ICD-9-CM -> ICD-10-CA
129,44,71,14,0.101883720930233,-1.0,ICD-9-CM -> ICDA-8
