"track","K","N","chapter","precision","recall","f1","accuracy"
"8_9",5,10,FALSE,0.876623376623377,0.820668693009118,0.847723704866562,0.735694822888283
"8_9",5,10,TRUE,0.849529780564263,0.82370820668693,0.83641975308642,0.718832891246684
"8_9",5,30,FALSE,0.869426751592357,0.829787234042553,0.849144634525661,0.737837837837838
"8_9",5,30,TRUE,0.88562091503268,0.82370820668693,0.853543307086614,0.744505494505495
"8_9",5,50,FALSE,0.870967741935484,0.820668693009118,0.845070422535211,0.731707317073171
"8_9",5,50,TRUE,0.886731391585761,0.832826747720365,0.858934169278997,0.752747252747253
"8_9",10,10,FALSE,0.862179487179487,0.817629179331307,0.839313572542902,0.723118279569892
"8_9",10,10,TRUE,0.866883116883117,0.811550151975684,0.838304552590267,0.721621621621622
"8_9",10,30,FALSE,0.853503184713376,0.814589665653495,0.833592534992224,0.714666666666667
"8_9",10,30,TRUE,0.863057324840764,0.82370820668693,0.842923794712286,0.728494623655914
"8_9",10,50,FALSE,0.870967741935484,0.820668693009118,0.845070422535211,0.731707317073171
"8_9",10,50,TRUE,0.876221498371335,0.817629179331307,0.845911949685535,0.732970027247956
"8_9",25,10,FALSE,0.866449511400652,0.808510638297872,0.836477987421384,0.718918918918919
"8_9",25,10,TRUE,0.872964169381108,0.814589665653495,0.842767295597484,0.728260869565217
"8_9",25,30,FALSE,0.842767295597484,0.814589665653495,0.828438948995363,0.70712401055409
"8_9",25,30,TRUE,0.862619808306709,0.820668693009118,0.841121495327103,0.725806451612903
"8_9",25,50,FALSE,0.853968253968254,0.817629179331307,0.835403726708075,0.717333333333333
"8_9",25,50,TRUE,0.871382636655949,0.82370820668693,0.846875,0.734417344173442
"8_9",50,10,FALSE,0.858064516129032,0.808510638297872,0.832550860719875,0.71313672922252
"8_9",50,10,TRUE,0.868167202572347,0.820668693009118,0.84375,0.72972972972973
"8_9",50,30,FALSE,0.861290322580645,0.811550151975684,0.835680751173709,0.717741935483871
"8_9",50,30,TRUE,0.861736334405145,0.814589665653495,0.8375,0.720430107526882
"8_9",50,50,FALSE,0.870550161812298,0.817629179331307,0.843260188087774,0.7289972899729
"8_9",50,50,TRUE,0.872549019607843,0.811550151975684,0.840944881889764,0.72554347826087
