"track","setting","n_candidates","pct_true_reachable","precision","recall","f1","accuracy"
"10_9","narrow_thr0.995_N30",2873,67.4,0.739130434782609,0.535433070866142,0.621004566210046,0.450331125827815
"10_9","narrow_thr0.99_N10",2165,59.8,0.794690265486726,0.505061867266592,0.617606602475928,0.446766169154229
"10_9","narrow_thr0.95_N30",9761,79.6,0.741702741702742,0.578177727784027,0.649810366624526,0.4812734082397
"10_9","wide",22434,91.3,0.75,0.604049493813273,0.669158878504673,0.502808988764045
"8_9","narrow_thr0.995_N30",2144,88.8,0.890322580645161,0.838905775075988,0.863849765258216,0.760330578512397
"8_9","narrow_thr0.99_N10",1500,90.3,0.871382636655949,0.82370820668693,0.846875,0.734417344173442
"8_9","narrow_thr0.95_N30",5698,94.2,0.864516129032258,0.814589665653495,0.838810641627543,0.722371967654987
"8_9","wide",8075,97.3,0.880645161290323,0.829787234042553,0.854460093896714,0.745901639344262
