"icd9","top_target","top_frequency","track","track_label"
"256","N83",81,"10_9","ICD-9-CM to ICD-10-CA"
"257","E11",81,"10_9","ICD-9-CM to ICD-10-CA"
"258","E11",28,"10_9","ICD-9-CM to ICD-10-CA"
"259","C78",113,"10_9","ICD-9-CM to ICD-10-CA"
"262","E11",33,"10_9","ICD-9-CM to ICD-10-CA"
"263","K56",4213,"10_9","ICD-9-CM to ICD-10-CA"
"268","E11",129,"10_9","ICD-9-CM to ICD-10-CA"
"270","E87",113,"10_9","ICD-9-CM to ICD-10-CA"
"271","E87",88,"10_9","ICD-9-CM to ICD-10-CA"
"272","E11",5732,"10_9","ICD-9-CM to ICD-10-CA"
"273","C88",390,"10_9","ICD-9-CM to ICD-10-CA"
"274","M10",3540,"10_9","ICD-9-CM to ICD-10-CA"
"275","E83",4795,"10_9","ICD-9-CM to ICD-10-CA"
"277","E84",4985,"10_9","ICD-9-CM to ICD-10-CA"
"278","E66",6586,"10_9","ICD-9-CM to ICD-10-CA"
"279","E11",215,"10_9","ICD-9-CM to ICD-10-CA"
"280","E11",3991,"10_9","ICD-9-CM to ICD-10-CA"
"282","D57",1019,"10_9","ICD-9-CM to ICD-10-CA"
"283","D59",907,"10_9","ICD-9-CM to ICD-10-CA"
"284","D61",3049,"10_9","ICD-9-CM to ICD-10-CA"
"285","E11",21741,"10_9","ICD-9-CM to ICD-10-CA"
"286","I10",5495,"10_9","ICD-9-CM to ICD-10-CA"
"287","D69",4575,"10_9","ICD-9-CM to ICD-10-CA"
"288","D70",6474,"10_9","ICD-9-CM to ICD-10-CA"
"289","E11",904,"10_9","ICD-9-CM to ICD-10-CA"
"290","F03",34933,"10_9","ICD-9-CM to ICD-10-CA"
"291","F10",16554,"10_9","ICD-9-CM to ICD-10-CA"
"292","F15",4615,"10_9","ICD-9-CM to ICD-10-CA"
"294","F03",20931,"10_9","ICD-9-CM to ICD-10-CA"
"295","F20",98409,"10_9","ICD-9-CM to ICD-10-CA"
"296","F31",65169,"10_9","ICD-9-CM to ICD-10-CA"
"297","F22",4140,"10_9","ICD-9-CM to ICD-10-CA"
"298","F29",25380,"10_9","ICD-9-CM to ICD-10-CA"
"299","F84",1728,"10_9","ICD-9-CM to ICD-10-CA"
"300","F41",18348,"10_9","ICD-9-CM to ICD-10-CA"
"301","F60",23027,"10_9","ICD-9-CM to ICD-10-CA"
"303","F10",16022,"10_9","ICD-9-CM to ICD-10-CA"
"304","F11",5972,"10_9","ICD-9-CM to ICD-10-CA"
"305","F10",29925,"10_9","ICD-9-CM to ICD-10-CA"
"306","I10",43,"10_9","ICD-9-CM to ICD-10-CA"
"307","F50",10850,"10_9","ICD-9-CM to ICD-10-CA"
"308","F43",740,"10_9","ICD-9-CM to ICD-10-CA"
"309","F43",19509,"10_9","ICD-9-CM to ICD-10-CA"
"310","S06",149,"10_9","ICD-9-CM to ICD-10-CA"
