"track","variant","objective","n_features","precision","recall","f1","accuracy"
"10_9","full","binary:logistic",52,0.759312320916905,0.652709359605911,0.701986754966887,0.540816326530612
"10_9","no_mutual","binary:logistic",36,0.66759388038943,0.591133004926108,0.627041149575441,0.456707897240723
"10_9","no_lexical","binary:logistic",46,0.738826815642458,0.651477832512315,0.692408376963351,0.529529529529529
"10_9","no_cooccurrence","binary:logistic",47,0.742088607594937,0.577586206896552,0.649584487534626,0.481025641025641
"10_9","no_chapter","binary:logistic",49,0.73968253968254,0.573891625615764,0.646324549237171,0.477459016393443
"10_9","no_ensemble","binary:logistic",37,0.735616438356164,0.661330049261084,0.696498054474708,0.534328358208955
"10_9","no_mpnet","binary:logistic",46,0.718015665796345,0.677339901477833,0.697084917617237,0.535019455252918
"10_9","no_clinicalbert","binary:logistic",46,0.743626062322946,0.646551724137931,0.691699604743083,0.528700906344411
"10_9","rank_pairwise","rank:pairwise",52,0.758771929824561,0.639162561576355,0.693850267379679,0.53121801432958
"10_9","rank_ndcg","rank:ndcg",52,0.732193732193732,0.633004926108374,0.678996036988111,0.514
