"track","model","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy"
"8_9","ClinicalBERT",0.95,3,1,0.591,0.764,0.666,0.5
"8_9","ClinicalBERT",0.95,3,2,0.541,0.731,0.622,0.451
"8_9","ClinicalBERT",0.95,3,3,0.635,0.698,0.665,0.498
"8_9","ClinicalBERT",0.95,3,4,0.521,0.792,0.629,0.458
"8_9","ClinicalBERT",0.95,5,1,0.59,0.764,0.666,0.499
"8_9","ClinicalBERT",0.95,5,2,0.494,0.74,0.592,0.421
"8_9","ClinicalBERT",0.95,5,3,0.564,0.719,0.632,0.462
"8_9","ClinicalBERT",0.95,5,4,0.479,0.801,0.599,0.428
"8_9","ClinicalBERT",0.95,10,1,0.586,0.764,0.663,0.496
"8_9","ClinicalBERT",0.95,10,2,0.435,0.746,0.55,0.379
"8_9","ClinicalBERT",0.95,10,3,0.483,0.737,0.584,0.412
"8_9","ClinicalBERT",0.95,10,4,0.427,0.807,0.558,0.388
"8_9","ClinicalBERT",0.95,15,1,0.584,0.764,0.662,0.495
"8_9","ClinicalBERT",0.95,15,2,0.4,0.746,0.521,0.352
"8_9","ClinicalBERT",0.95,15,3,0.439,0.74,0.551,0.38
"8_9","ClinicalBERT",0.95,15,4,0.396,0.807,0.531,0.361
"8_9","ClinicalBERT",0.95,20,1,0.584,0.764,0.662,0.495
"8_9","ClinicalBERT",0.95,20,2,0.375,0.746,0.499,0.333
"8_9","ClinicalBERT",0.95,20,3,0.407,0.743,0.526,0.357
"8_9","ClinicalBERT",0.95,20,4,0.373,0.807,0.51,0.343
"8_9","ClinicalBERT",0.95,25,1,0.584,0.764,0.662,0.495
"8_9","ClinicalBERT",0.95,25,2,0.353,0.746,0.479,0.315
"8_9","ClinicalBERT",0.95,25,3,0.38,0.743,0.503,0.336
"8_9","ClinicalBERT",0.95,25,4,0.353,0.807,0.491,0.325
"8_9","ClinicalBERT",0.95,30,1,0.584,0.764,0.662,0.495
"8_9","ClinicalBERT",0.95,30,2,0.342,0.749,0.47,0.307
"8_9","ClinicalBERT",0.95,30,3,0.366,0.746,0.491,0.325
"8_9","ClinicalBERT",0.95,30,4,0.342,0.81,0.481,0.317
"8_9","ClinicalBERT",0.99,3,1,0.629,0.758,0.688,0.524
"8_9","ClinicalBERT",0.99,3,2,0.667,0.598,0.631,0.46
"8_9","ClinicalBERT",0.99,3,3,0.747,0.677,0.71,0.55
"8_9","ClinicalBERT",0.99,3,4,0.618,0.767,0.684,0.52
"8_9","ClinicalBERT",0.99,5,1,0.627,0.758,0.686,0.523
"8_9","ClinicalBERT",0.99,5,2,0.659,0.601,0.629,0.459
"8_9","ClinicalBERT",0.99,5,3,0.732,0.692,0.711,0.552
"8_9","ClinicalBERT",0.99,5,4,0.612,0.77,0.682,0.517
"8_9","ClinicalBERT",0.99,10,1,0.623,0.758,0.684,0.52
"8_9","ClinicalBERT",0.99,10,2,0.646,0.601,0.623,0.452
"8_9","ClinicalBERT",0.99,10,3,0.704,0.704,0.704,0.543
"8_9","ClinicalBERT",0.99,10,4,0.6,0.77,0.674,0.509
"8_9","ClinicalBERT",0.99,15,1,0.621,0.758,0.683,0.519
"8_9","ClinicalBERT",0.99,15,2,0.644,0.601,0.622,0.451
"8_9","ClinicalBERT",0.99,15,3,0.696,0.707,0.701,0.54
"8_9","ClinicalBERT",0.99,15,4,0.597,0.77,0.673,0.507
"8_9","ClinicalBERT",0.99,20,1,0.621,0.758,0.683,0.519
"8_9","ClinicalBERT",0.99,20,2,0.642,0.601,0.621,0.45
"8_9","ClinicalBERT",0.99,20,3,0.687,0.71,0.698,0.537
"8_9","ClinicalBERT",0.99,20,4,0.596,0.77,0.672,0.506
"8_9","ClinicalBERT",0.99,25,1,0.621,0.758,0.683,0.519
"8_9","ClinicalBERT",0.99,25,2,0.636,0.601,0.618,0.447
"8_9","ClinicalBERT",0.99,25,3,0.679,0.71,0.694,0.532
"8_9","ClinicalBERT",0.99,25,4,0.592,0.77,0.669,0.503
"8_9","ClinicalBERT",0.99,30,1,0.621,0.758,0.683,0.519
"8_9","ClinicalBERT",0.99,30,2,0.629,0.604,0.616,0.445
"8_9","ClinicalBERT",0.99,30,3,0.67,0.713,0.691,0.528
"8_9","ClinicalBERT",0.99,30,4,0.587,0.773,0.667,0.501
"8_9","ClinicalBERT",0.995,3,1,0.635,0.752,0.689,0.525
"8_9","ClinicalBERT",0.995,3,2,0.68,0.559,0.614,0.443
"8_9","ClinicalBERT",0.995,3,3,0.761,0.665,0.71,0.55
"8_9","ClinicalBERT",0.995,3,4,0.633,0.755,0.689,0.525
"8_9","ClinicalBERT",0.995,5,1,0.634,0.752,0.688,0.524
"8_9","ClinicalBERT",0.995,5,2,0.676,0.562,0.614,0.443
"8_9","ClinicalBERT",0.995,5,3,0.753,0.68,0.715,0.556
"8_9","ClinicalBERT",0.995,5,4,0.629,0.758,0.688,0.524
"8_9","ClinicalBERT",0.995,10,1,0.629,0.752,0.685,0.521
"8_9","ClinicalBERT",0.995,10,2,0.674,0.562,0.613,0.442
"8_9","ClinicalBERT",0.995,10,3,0.732,0.692,0.711,0.552
"8_9","ClinicalBERT",0.995,10,4,0.623,0.758,0.684,0.52
"8_9","ClinicalBERT",0.995,15,1,0.627,0.752,0.684,0.52
"8_9","ClinicalBERT",0.995,15,2,0.674,0.562,0.613,0.442
"8_9","ClinicalBERT",0.995,15,3,0.726,0.695,0.71,0.55
"8_9","ClinicalBERT",0.995,15,4,0.621,0.758,0.683,0.519
"8_9","ClinicalBERT",0.995,20,1,0.627,0.752,0.684,0.52
"8_9","ClinicalBERT",0.995,20,2,0.674,0.562,0.613,0.442
"8_9","ClinicalBERT",0.995,20,3,0.717,0.698,0.707,0.547
"8_9","ClinicalBERT",0.995,20,4,0.621,0.758,0.683,0.519
"8_9","ClinicalBERT",0.995,25,1,0.627,0.752,0.684,0.52
"8_9","ClinicalBERT",0.995,25,2,0.671,0.562,0.612,0.441
"8_9","ClinicalBERT",0.995,25,3,0.715,0.698,0.706,0.546
"8_9","ClinicalBERT",0.995,25,4,0.62,0.758,0.682,0.518
"8_9","ClinicalBERT",0.995,30,1,0.627,0.752,0.684,0.52
"8_9","ClinicalBERT",0.995,30,2,0.667,0.562,0.61,0.439
"8_9","ClinicalBERT",0.995,30,3,0.709,0.698,0.703,0.542
"8_9","ClinicalBERT",0.995,30,4,0.617,0.758,0.68,0.515
"8_9","ClinicalBERT",0.999,3,1,0.648,0.752,0.696,0.534
"8_9","ClinicalBERT",0.999,3,2,0.701,0.538,0.609,0.437
"8_9","ClinicalBERT",0.999,3,3,0.764,0.665,0.711,0.551
