"track","variant","objective","n_features","precision","recall","f1","accuracy"
"8_9","full","binary:logistic",52,0.880645161290323,0.853125,0.866666666666667,0.764705882352941
"8_9","no_mutual","binary:logistic",36,0.870550161812298,0.840625,0.855325914149444,0.747222222222222
"8_9","no_lexical","binary:logistic",46,0.885993485342019,0.85,0.86762360446571,0.766197183098592
"8_9","no_cooccurrence","binary:logistic",47,0.842443729903537,0.81875,0.830427892234548,0.710027100271003
"8_9","no_chapter","binary:logistic",49,0.87741935483871,0.85,0.863492063492064,0.759776536312849
"8_9","no_ensemble","binary:logistic",37,0.861736334405145,0.8375,0.849445324881141,0.738292011019284
"8_9","no_mpnet","binary:logistic",46,0.853968253968254,0.840625,0.847244094488189,0.734972677595628
"8_9","no_clinicalbert","binary:logistic",46,0.886363636363636,0.853125,0.869426751592357,0.769014084507042
"8_9","rank_pairwise","rank:pairwise",52,0.860759493670886,0.85,0.855345911949686,0.747252747252747
"8_9","rank_ndcg","rank:ndcg",52,0.889967637540453,0.859375,0.874403815580286,0.77683615819209
