"icd9","icd9_label","icd9_chapter","aligned_target_chapters","ccs_category","pipeline_output","target_label","target_chapter","similarity","cooccurrence","correct_target_should_be","present_in_code_list","notes"
"164","malignant neoplasm of thymus heart and mediastinum",2,"2","other cancers","none",NA,NA,NA,NA,"","",""
"165","malignant neoplasm of other and illdefined sites within the respiratory system and intrathoracic organs",2,"2","lung and other respiratory cancer","none",NA,NA,NA,NA,"","",""
"175","malignant neoplasm of male breast",2,"2","breast cancer","none",NA,NA,NA,NA,"","",""
"176","kaposis sarcoma",2,"2","other cancers","none",NA,NA,NA,NA,"","",""
"179","malignant neoplasm of uterus part unspecified",2,"2","uterus cancer","none",NA,NA,NA,NA,"","",""
"230","carcinoma in situ of digestive organs",2,"2","cancer of other gi organs peritoneum","none",NA,NA,NA,NA,"","",""
"231","carcinoma in situ of respiratory system",2,"2","lung and other respiratory cancer","none",NA,NA,NA,NA,"","",""
"233","carcinoma in situ of breast and genitourinary system",2,"2","other cancers","none",NA,NA,NA,NA,"","",""
"234","carcinoma in situ of other and unspecified sites",2,"2","other cancers","none",NA,NA,NA,NA,"","",""
"237","neoplasm of uncertain behavior of endocrine glands and nervous system",2,"2","neoplasms of unspecified nature","none",NA,NA,NA,NA,"","",""
"238","neoplasm of uncertain behavior of other and unspecified sites and tissues",2,"2","neoplasms of unspecified nature","none",NA,NA,NA,NA,"","",""
"249","secondary diabetes mellitus",3,"3","diabetes mellitus","none",NA,NA,NA,NA,"","",""
"259","other endocrine disorders",3,"3","other endocrine disorders","none",NA,NA,NA,NA,"","",""
"263","other and unspecified proteincalorie malnutrition",3,"3","nutritional deficiencies","none",NA,NA,NA,NA,"","",""
"305","nondependent abuse of drugs",5,"5","alcohol and substancerelated disorders","none",NA,NA,NA,NA,"","",""
"308","acute reaction to stress",5,"5","mood and anxiety disorders","none",NA,NA,NA,NA,"","",""
"312","disturbance of conduct not elsewhere classified",5,"5","attentiondeficit conduct and disruptive behavior disorders","none",NA,NA,NA,NA,"","",""
"315","specific delays in development",5,"5","developmental disorders","none",NA,NA,NA,NA,"","",""
"316","psychic factors associated with diseases classified elsewhere",5,"5","miscellaneous mental health disorders","none",NA,NA,NA,NA,"","",""
"327","organic sleep disorders",6,"6","other nervous system conditions","none",NA,NA,NA,NA,"","",""
"330","cerebral degenerations usually manifest in childhood",6,"6","other nervous system conditions","none",NA,NA,NA,NA,"","",""
"331","other cerebral degenerations",6,"6","delirium dementia and other cognitive disorders","none",NA,NA,NA,NA,"","",""
"333","other extrapyramidal disease and abnormal movement disorders",6,"6","other nervous system conditions","none",NA,NA,NA,NA,"","",""
"334","spinocerebellar disease",6,"6","other nervous system conditions","none",NA,NA,NA,NA,"","",""
"335","anterior horn cell disease",6,"6","other nervous system conditions","none",NA,NA,NA,NA,"","",""
"338","pain not elsewhere classified",6,"6","other nervous system conditions","none",NA,NA,NA,NA,"","",""
"358","myoneural disorders",6,"6","other nervous system conditions","none",NA,NA,NA,NA,"","",""
"359","muscular dystrophies and other myopathies",6,"6","other nervous system conditions","none",NA,NA,NA,NA,"","",""
"382","suppurative and unspecified otitis media",6,"6","otitis media and related conditions","none",NA,NA,NA,NA,"","",""
"405","secondary hypertension",7,"7","hypertension complications","none",NA,NA,NA,NA,"","",""
"417","other diseases of pulmonary circulation",7,"7","pulmonary heart disease","none",NA,NA,NA,NA,"","",""
"495","extrinsic allergic alveolitis",8,"8","lung disease due to external agents","none",NA,NA,NA,NA,"","",""
"496","chronic airway obstruction not elsewhere classified",8,"8","chronic obstructive pulmonary disease copd","none",NA,NA,NA,NA,"","",""
"508","respiratory conditions due to other and unspecified external agents",8,"8","lung disease due to external agents","none",NA,NA,NA,NA,"","",""
"515","postinflammatory pulmonary fibrosis",8,"8","other lower respiratory disease","none",NA,NA,NA,NA,"","",""
"516","other alveolar and parietoalveolar pneumonopathy",8,"8","other lower respiratory disease","none",NA,NA,NA,NA,"","",""
