"track","n_train","f1_mean","f1_sd","n_repeats"
"8_9",40,0.827857422068676,0.00616650764827325,4
"8_9",70,0.842802879048037,0.0106193515380582,4
"8_9",100,0.842146705139514,0.00694621773741899,4
"8_9",140,0.845980099852267,0.0115526593947577,4
"8_9",180,0.846096152216923,0.00572673454897715,4
"8_9",220,0.841356815724032,0.00736700341864138,4
"8_9",260,NA,NA,0
