"track","model","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy"
"10_9","SapBERT",0.99,5,1,0.706,0.393,0.505,0.338
"10_9","SapBERT",0.99,5,2,0.845,0.297,0.44,0.281
"10_9","SapBERT",0.99,5,3,0.699,0.275,0.395,0.246
"10_9","SapBERT",0.99,5,4,0.706,0.393,0.505,0.338
"10_9","SapBERT",0.99,10,1,0.704,0.393,0.504,0.337
"10_9","SapBERT",0.99,10,2,0.846,0.299,0.442,0.283
"10_9","SapBERT",0.99,10,3,0.711,0.302,0.424,0.269
"10_9","SapBERT",0.99,10,4,0.705,0.395,0.506,0.339
"10_9","SapBERT",0.99,15,1,0.704,0.393,0.504,0.337
"10_9","SapBERT",0.99,15,2,0.846,0.299,0.442,0.283
"10_9","SapBERT",0.99,15,3,0.717,0.316,0.439,0.281
"10_9","SapBERT",0.99,15,4,0.705,0.395,0.506,0.339
"10_9","SapBERT",0.995,3,1,0.708,0.381,0.495,0.329
"10_9","SapBERT",0.995,3,2,0.846,0.293,0.435,0.279
"10_9","SapBERT",0.995,3,3,0.696,0.25,0.368,0.225
"10_9","SapBERT",0.995,3,4,0.708,0.381,0.495,0.329
"10_9","SapBERT",0.995,5,1,0.707,0.391,0.504,0.336
"10_9","SapBERT",0.995,5,2,0.846,0.293,0.435,0.279
"10_9","SapBERT",0.995,5,3,0.701,0.275,0.395,0.246
"10_9","SapBERT",0.995,5,4,0.707,0.391,0.504,0.336
"10_9","SapBERT",0.995,10,1,0.704,0.391,0.503,0.335
"10_9","SapBERT",0.995,10,2,0.847,0.296,0.439,0.281
"10_9","SapBERT",0.995,10,3,0.712,0.301,0.423,0.268
"10_9","SapBERT",0.995,10,4,0.705,0.393,0.505,0.337
"10_9","SapBERT",0.995,15,1,0.704,0.391,0.503,0.335
"10_9","SapBERT",0.995,15,2,0.847,0.296,0.439,0.281
"10_9","SapBERT",0.995,15,3,0.718,0.315,0.438,0.28
"10_9","SapBERT",0.995,15,4,0.705,0.393,0.505,0.337
"10_9","SapBERT",0.999,3,1,0.708,0.38,0.495,0.328
"10_9","SapBERT",0.999,3,2,0.845,0.29,0.432,0.276
"10_9","SapBERT",0.999,3,3,0.696,0.249,0.367,0.224
"10_9","SapBERT",0.999,3,4,0.708,0.38,0.495,0.328
"10_9","SapBERT",0.999,5,1,0.706,0.39,0.502,0.335
"10_9","SapBERT",0.999,5,2,0.845,0.29,0.432,0.276
"10_9","SapBERT",0.999,5,3,0.7,0.274,0.394,0.245
"10_9","SapBERT",0.999,5,4,0.706,0.39,0.502,0.335
"10_9","SapBERT",0.999,10,1,0.703,0.39,0.502,0.335
"10_9","SapBERT",0.999,10,2,0.845,0.291,0.433,0.277
"10_9","SapBERT",0.999,10,3,0.711,0.299,0.421,0.266
"10_9","SapBERT",0.999,10,4,0.704,0.391,0.503,0.335
"10_9","SapBERT",0.999,15,1,0.703,0.39,0.502,0.335
"10_9","SapBERT",0.999,15,2,0.845,0.291,0.433,0.277
"10_9","SapBERT",0.999,15,3,0.716,0.313,0.436,0.278
"10_9","SapBERT",0.999,15,4,0.704,0.391,0.503,0.335
