"track","setting","n_candidates","n_features","precision","recall","f1","accuracy"
"10_9","full",22434,52,0.75,0.604049493813273,0.669158878504673,0.502808988764045
"10_9","no_cooc",8329,47,0.72172619047619,0.545556805399325,0.621396540679052,0.450743494423792
"10_9","labels_only",8329,44,0.721202003338898,0.485939257592801,0.580645161290323,0.409090909090909
"8_9","full",8075,52,0.880645161290323,0.829787234042553,0.854460093896714,0.745901639344262
"8_9","no_cooc",6511,47,0.827586206896552,0.802431610942249,0.814814814814815,0.6875
"8_9","labels_only",6511,44,0.829581993569132,0.78419452887538,0.80625,0.675392670157068
