"track","family","best_f1_base","best_f1_stripped","best_accuracy_base","best_accuracy_stripped","mean_f1_base","mean_f1_stripped","delta_best_f1","delta_mean_f1"
"10_9","ClinicalBERT",0.43,0.448,0.274,0.289,0.3735,0.3902,0.018,0.0167
"10_9","SapBERT",0.53,0.534,0.36,0.364,0.4719,0.4786,0.004,0.0067
"10_9","mpnet",0.533,0.523,0.363,0.354,0.478,0.4741,-0.01,-0.0039
"8_9","ClinicalBERT",0.716,0.722,0.557,0.565,0.6491,0.6544,0.006,0.0053
"8_9","SapBERT",0.821,0.806,0.697,0.674,0.7774,0.7659,-0.015,-0.0115
"8_9","mpnet",0.769,0.766,0.625,0.62,0.7439,0.7433,-0.003,-6e-04
