"track","fold","n_test_codes","baseline_f1","baseline_precision","baseline_recall","baseline_accuracy","rerank_f1","rerank_precision","rerank_recall","rerank_accuracy","K","N","chapter","tau","rho","baseline_config"
"10_9",1,69,0.586206896551724,0.779816513761468,0.469613259668508,0.414634146341463,0.732484076433121,0.864661654135338,0.635359116022099,0.577889447236181,10,10,FALSE,0.35,0.85,"SapBERT|0.95|30|4"
"10_9",2,69,0.580645161290323,0.723214285714286,0.48502994011976,0.409090909090909,0.636655948553055,0.6875,0.592814371257485,0.466981132075472,50,50,FALSE,0.45,0.7,"SapBERT|0.95|25|4"
"10_9",3,69,0.573529411764706,0.690265486725664,0.490566037735849,0.402061855670103,0.675496688741722,0.713286713286713,0.641509433962264,0.51,10,50,FALSE,0.3,0.85,"SapBERT|0.95|30|4"
"10_9",4,69,0.466666666666667,0.574626865671642,0.392857142857143,0.304347826086957,0.634285714285714,0.720779220779221,0.566326530612245,0.464435146443515,10,50,FALSE,0.35,0.85,"SapBERT|0.95|30|4"
"10_9",5,69,0.536912751677852,0.714285714285714,0.43010752688172,0.36697247706422,0.664705882352941,0.733766233766234,0.60752688172043,0.497797356828194,10,50,FALSE,0.3,0.7,"SapBERT|0.95|30|4"
"8_9",1,61,0.857142857142857,0.885245901639344,0.830769230769231,0.75,0.888888888888889,0.918032786885246,0.861538461538462,0.8,10,10,FALSE,0.9,1,"SapBERT|0.99|3|2"
"8_9",2,61,0.848,0.854838709677419,0.841269841269841,0.736111111111111,0.846153846153846,0.82089552238806,0.873015873015873,0.733333333333333,10,10,FALSE,0.75,1,"SapBERT|0.99|3|2"
"8_9",3,60,0.753846153846154,0.80327868852459,0.710144927536232,0.604938271604938,0.744186046511628,0.8,0.695652173913043,0.592592592592593,10,10,FALSE,0.95,1,"SapBERT|0.99|3|2"
"8_9",4,60,0.834645669291339,0.868852459016393,0.803030303030303,0.716216216216216,0.873015873015873,0.916666666666667,0.833333333333333,0.774647887323944,10,10,FALSE,0.95,1,"SapBERT|0.99|3|2"
"8_9",5,60,0.829268292682927,0.894736842105263,0.772727272727273,0.708333333333333,0.850393700787402,0.885245901639344,0.818181818181818,0.73972602739726,10,10,TRUE,0.7,1,"SapBERT|0.99|3|2"
