"track","K","N","chapter","precision","recall","f1","accuracy"
"10_9",5,10,FALSE,0.744776119402985,0.561304836895388,0.640153944836434,0.470754716981132
"10_9",5,10,TRUE,0.736070381231672,0.564679415073116,0.639083386378103,0.469597754911132
"10_9",5,30,FALSE,0.738700564971751,0.58830146231721,0.654978083907326,0.486964618249534
"10_9",5,30,TRUE,0.725874125874126,0.583802024746907,0.64713216957606,0.478341013824885
"10_9",5,50,FALSE,0.74468085106383,0.590551181102362,0.658720200752823,0.4911131898971
"10_9",5,50,TRUE,0.675031367628607,0.605174353205849,0.638196915776987,0.468641114982578
"10_9",10,10,FALSE,0.7094682230869,0.615298087739033,0.659036144578313,0.491464510332435
"10_9",10,10,TRUE,0.708609271523179,0.601799775028121,0.650851581508516,0.482416591523895
"10_9",10,30,FALSE,0.747933884297521,0.610798650168729,0.672445820433436,0.506529850746269
"10_9",10,30,TRUE,0.720529801324503,0.611923509561305,0.661800486618005,0.494545454545455
"10_9",10,50,FALSE,0.704314720812183,0.62429696287964,0.661896243291592,0.494652406417112
"10_9",10,50,TRUE,0.744619799139168,0.583802024746907,0.654476670870114,0.486410496719775
"10_9",25,10,FALSE,0.728531855955679,0.591676040494938,0.653010552451893,0.484792626728111
"10_9",25,10,TRUE,0.754050073637702,0.575928008998875,0.653061224489796,0.484848484848485
"10_9",25,30,FALSE,0.712347354138399,0.590551181102362,0.645756457564576,0.476839237057221
"10_9",25,30,TRUE,0.707219251336898,0.595050618672666,0.646304215027489,0.477436823104693
"10_9",25,50,FALSE,0.721997300944669,0.601799775028121,0.656441717791411,0.488584474885845
"10_9",25,50,TRUE,0.764252696456086,0.55793025871766,0.644993498049415,0.476007677543186
"10_9",50,10,FALSE,0.718791064388962,0.615298087739033,0.663030303030303,0.495920217588395
"10_9",50,10,TRUE,0.737142857142857,0.580427446569179,0.649465072372561,0.48089468779124
"10_9",50,30,FALSE,0.733793103448276,0.598425196850394,0.659231722428749,0.491682070240296
"10_9",50,30,TRUE,0.719086021505376,0.601799775028121,0.65523576240049,0.487249544626594
"10_9",50,50,FALSE,0.738197424892704,0.580427446569179,0.649874055415617,0.48134328358209
"10_9",50,50,TRUE,0.730337078651685,0.584926884139483,0.649594003747658,0.481036077705828
