"track","model","metric","estimate","sd","ci_low","ci_high"
"8_9","ClinicalBERT-stopwords-raw","accuracy",0.5588,0.0271,0.5059,0.6129
"8_9","ClinicalBERT-stripped","precision",0.7516,0.0224,0.7095,0.7953
"8_9","ClinicalBERT-stripped","recall",0.6949,0.0278,0.639,0.7462
"8_9","ClinicalBERT-stripped","f1",0.7221,0.022,0.6771,0.7639
"8_9","ClinicalBERT-stripped","accuracy",0.5651,0.0269,0.5118,0.6179
"8_9","SapBERT-base","precision",0.7386,0.0228,0.6941,0.7835
"8_9","SapBERT-base","recall",0.7855,0.0262,0.7335,0.8365
"8_9","SapBERT-base","f1",0.7613,0.0214,0.7203,0.8023
"8_9","SapBERT-base","accuracy",0.6147,0.0279,0.5629,0.6699
"8_9","SapBERT-stripped","precision",0.7112,0.023,0.6667,0.7575
"8_9","SapBERT-stripped","recall",0.7885,0.0261,0.736,0.8396
"8_9","SapBERT-stripped","f1",0.7479,0.0216,0.7049,0.7902
"8_9","SapBERT-stripped","accuracy",0.5973,0.0276,0.5442,0.6531
"8_9","mpnet-base","precision",0.767,0.021,0.7267,0.808
"8_9","mpnet-base","recall",0.716,0.0279,0.6606,0.7692
"8_9","mpnet-base","f1",0.7406,0.0209,0.6994,0.7801
"8_9","mpnet-base","accuracy",0.5881,0.0264,0.5377,0.6395
"8_9","mpnet-stripped","precision",0.7645,0.0212,0.7247,0.8064
"8_9","mpnet-stripped","recall",0.716,0.0279,0.6606,0.7692
"8_9","mpnet-stripped","f1",0.7395,0.0208,0.6971,0.7787
"8_9","mpnet-stripped","accuracy",0.5866,0.0262,0.535,0.6376
