"icd9","best_target","max_similarity","track","track_label"
"140","C03",0.964519739151001,"10_9","ICD-9-CM to ICD-10-CA"
"141","C03",0.955077648162842,"10_9","ICD-9-CM to ICD-10-CA"
"142","D11",0.958851218223572,"10_9","ICD-9-CM to ICD-10-CA"
"143","C03",0.969846844673157,"10_9","ICD-9-CM to ICD-10-CA"
"144","C11",0.953240990638733,"10_9","ICD-9-CM to ICD-10-CA"
"145","C02",0.968128979206085,"10_9","ICD-9-CM to ICD-10-CA"
"146","C10",0.9663365483284,"10_9","ICD-9-CM to ICD-10-CA"
"147","C11",0.958122253417969,"10_9","ICD-9-CM to ICD-10-CA"
"148","C10",0.963282346725464,"10_9","ICD-9-CM to ICD-10-CA"
"149","C14",0.979322671890259,"10_9","ICD-9-CM to ICD-10-CA"
"150","C15",0.963127017021179,"10_9","ICD-9-CM to ICD-10-CA"
"151","C15",0.95169061422348,"10_9","ICD-9-CM to ICD-10-CA"
"152","C48",0.95578271150589,"10_9","ICD-9-CM to ICD-10-CA"
"153","C18",0.962300658226013,"10_9","ICD-9-CM to ICD-10-CA"
"154","C21",0.971751034259796,"10_9","ICD-9-CM to ICD-10-CA"
"155","C22",0.968801081180573,"10_9","ICD-9-CM to ICD-10-CA"
"156","C22",0.965036749839783,"10_9","ICD-9-CM to ICD-10-CA"
"157","C15",0.956211388111115,"10_9","ICD-9-CM to ICD-10-CA"
"158","C48",0.96278578042984,"10_9","ICD-9-CM to ICD-10-CA"
"159","C39",0.976009964942932,"10_9","ICD-9-CM to ICD-10-CA"
"160","C30",0.966423094272614,"10_9","ICD-9-CM to ICD-10-CA"
"161","C32",0.957926392555237,"10_9","ICD-9-CM to ICD-10-CA"
"162","C34",0.963577032089233,"10_9","ICD-9-CM to ICD-10-CA"
"163","C38",0.959469795227051,"10_9","ICD-9-CM to ICD-10-CA"
"164","D20",0.956881999969482,"10_9","ICD-9-CM to ICD-10-CA"
"165","C39",0.980860233306885,"10_9","ICD-9-CM to ICD-10-CA"
"170","C40",0.950049161911011,"10_9","ICD-9-CM to ICD-10-CA"
"171","C26",0.951668322086334,"10_9","ICD-9-CM to ICD-10-CA"
"172","C43",0.949058175086975,"10_9","ICD-9-CM to ICD-10-CA"
"174","C50",0.95501983165741,"10_9","ICD-9-CM to ICD-10-CA"
"175","C30",0.955200612545013,"10_9","ICD-9-CM to ICD-10-CA"
"176","L42",0.94071900844574,"10_9","ICD-9-CM to ICD-10-CA"
"179","C55",0.964417934417725,"10_9","ICD-9-CM to ICD-10-CA"
"180","C53",0.963475108146667,"10_9","ICD-9-CM to ICD-10-CA"
"181","C58",0.952837646007538,"10_9","ICD-9-CM to ICD-10-CA"
"182","D20",0.951672911643982,"10_9","ICD-9-CM to ICD-10-CA"
"183","D28",0.959559321403503,"10_9","ICD-9-CM to ICD-10-CA"
"184","D28",0.976764440536499,"10_9","ICD-9-CM to ICD-10-CA"
