"track","tau","n_emitted","codes_covered","code_coverage","precision","recall","f1","precision_target"
"10_9",0.48,615,334,0.968115942028986,0.801626016260163,0.60639606396064,0.69047619047619,0.8
"10_9",0.76,440,318,0.921739130434783,0.913636363636364,0.494464944649447,0.641660015961692,0.9
"10_9",0.88,369,297,0.860869565217391,0.951219512195122,0.431734317343173,0.593908629441624,0.95
"10_9",0.99,173,171,0.495652173913044,1,0.212792127921279,0.350912778904665,0.99
"8_9",0.19,341,283,0.937086092715232,0.80058651026393,0.855799373040752,0.827272727272727,0.8
"8_9",0.47,291,272,0.900662251655629,0.900343642611684,0.821316614420063,0.859016393442623,0.9
"8_9",0.77,263,254,0.841059602649007,0.958174904942966,0.789968652037618,0.865979381443299,0.95
"8_9",0.97,205,205,0.678807947019868,0.995121951219512,0.639498432601881,0.778625954198473,0.99
