"track","tau","n_emitted","codes_covered","code_coverage","precision","recall","f1"
"10_9",0.01,3025,345,1,0.247272727272727,0.920049200492005,0.389786347055758
"10_9",0.02,2328,345,1,0.312285223367698,0.894218942189422,0.462909901305317
"10_9",0.03,1983,345,1,0.356026222894604,0.868388683886839,0.505007153075823
"10_9",0.04,1790,345,1,0.384357541899441,0.846248462484625,0.528620822128314
"10_9",0.05,1615,345,1,0.41671826625387,0.82779827798278,0.554365733113674
"10_9",0.06,1502,345,1,0.440745672436751,0.814268142681427,0.571922246220302
"10_9",0.07,1409,344,0.997101449275362,0.464158977998581,0.804428044280443,0.588658865886589
"10_9",0.08,1328,344,0.997101449275362,0.487951807228916,0.797047970479705,0.605324614666044
"10_9",0.09,1262,344,0.997101449275362,0.507923930269414,0.788437884378844,0.617831325301205
"10_9",0.1,1206,344,0.997101449275362,0.520729684908789,0.772447724477245,0.622090143635463
"10_9",0.11,1169,343,0.994202898550725,0.532934131736527,0.76629766297663,0.628657921291625
"10_9",0.12,1127,343,0.994202898550725,0.548358473824312,0.760147601476015,0.637113402061856
"10_9",0.13,1094,341,0.988405797101449,0.559414990859232,0.752767527675277,0.641845831148401
"10_9",0.14,1064,341,0.988405797101449,0.569548872180451,0.745387453874539,0.645711241342568
"10_9",0.15,1033,340,0.985507246376812,0.582768635043562,0.740467404674047,0.652221018418201
"10_9",0.16,1004,340,0.985507246376812,0.594621513944223,0.734317343173432,0.657127132636213
"10_9",0.17,976,340,0.985507246376812,0.607581967213115,0.72939729397294,0.662940190050307
"10_9",0.18,955,340,0.985507246376812,0.617801047120419,0.725707257072571,0.667420814479638
"10_9",0.19,934,340,0.985507246376812,0.625267665952891,0.718327183271833,0.668574699484831
"10_9",0.2,915,340,0.985507246376812,0.634972677595628,0.714637146371464,0.672453703703704
"10_9",0.21,899,338,0.979710144927536,0.640711902113459,0.708487084870849,0.672897196261682
"10_9",0.22,878,337,0.976811594202899,0.648063781321184,0.699876998769988,0.67297457125961
"10_9",0.23,858,337,0.976811594202899,0.660839160839161,0.697416974169742,0.678635547576302
"10_9",0.24,840,337,0.976811594202899,0.670238095238095,0.69249692496925,0.68118572292801
"10_9",0.25,822,337,0.976811594202899,0.682481751824818,0.690036900369004,0.686238532110092
"10_9",0.26,809,337,0.976811594202899,0.688504326328801,0.685116851168512,0.686806411837238
